invoice_id,invoice_number,external_invoice_ref,customer_id,contract_id,order_id,billing_region_id,issued_by_employee_id,invoice_date,due_date,invoice_status,subtotal_amount,tax_amount,refund_amount,paid_amount,paid_date,currency,payment_terms
52,INV-2023-000052,AR-2023-962918,2163,281,1523,10,60,2023-10-12,2023-10-27,Paid,36557.44,4752.47,499.75,38251.14,2023-10-19,USD,Net 15
53,INV-2023-000053,AR-2023-212952,2254,1395,,6,42,2023-08-02,2023-09-01,Paid,1433.11,71.66,0.00,1519.09,2023-08-07,USD,net 30 
54,INV-2023-000054,AR-2023-222615,1271,1030,15663,1,139,2023-04-06,2023-05-21,Open,355.51,17.78,0.00,0.00,,GBP,net 30 
55,INV-2024-000055,AR-2024-323020,1287,2820,8337,2,262,2024-07-12,2024-08-11,Paid,6481.52,842.60,0.00,6870.41,2024-08-30,USD,Net 45
56,INV-2024-000056,AR-2024-641519,1485,2799,12810,7,14,2024-09-21,2024-10-21,Paid,2138.61,106.93,0.00,2266.93,2024-10-18,usd,Net 60
57,INV-2024-000057,AR-2024-249370,87,898,4022,7,117,2024-05-04,2024-05-19,Open,19298.32,964.92,0.00,0.00,,USD,Net 15
58,INV-2024-000058,AR-2024-827750,86,2708,399,6,33,2024-06-15,2024-08-14,Overdue,1584.02,79.20,0.00,0.00,,USD,Net 60
59,INV-2023-000059,AR-2023-233438,2215,1262,8182,3,19,2023-12-29,2024-01-28,Open,4256.40,297.95,0.00,0.00,,GBP,Net 60
60,INV-2024-000060,AR-2024-793189,1877,2349,2579,3,51,2024-03-02,2024-05-01,Paid,13978.48,0.00,0.00,14817.19,2024-04-12,USD,Net 45
61,INV-2025-000061,AR-2025-787106,1038,2199,,11,78,2025-06-12,2025-07-12,Paid,4037.31,0.00,0.00,4279.55,2025-07-08,USD,Net 30
62,INV-2024-000062,AR-2024-419626,276,1064,21319,3,189,2024-01-13,2024-02-27,Overdue,24088.21,1204.41,0.00,0.00,,USD,Net 15
63,INV-2025-000063,AR-2025-894264,2211,353,,2,290,2025-09-20,2025-10-20,Paid,2301.73,0.00,0.00,2439.84,2025-10-02,USD,net 30 
64,INV-2024-000064,AR-2024-697570,25,4,15522,2,213,2024-02-20,2024-03-06,Paid,10032.48,1304.22,0.00,10634.43,2024-04-03,USD,net 30 
65,INV-2025-000065,AR-2025-835009,2258,3635,17562,6,26,2025-04-06,2025-04-21,Voided,2847.30,370.15,0.00,0.00,,GBP,Net 45
66,INV-2025-000066,AR-2025-392457,7,54,3614,4,164,2025-11-01,2025-11-16,Open,33218.04,0.00,0.00,0.00,,EUR,Net 45
67,INV-2024-000067,AR-2024-630188,1523,1448,,3,58,2024-12-05,2025-01-04,Overdue,2176.19,282.90,0.00,0.00,,GBP,Net 15
68,INV-2024-000068,AR-2024-264771,2228,464,2943,2,269,2024-06-13,2024-07-28,Open,2922.10,379.87,0.00,0.00,,USD,Net 30
69,INV-2026-000069,AR-2026-437855,290,1683,26368,11,278,2026-06-11,2026-07-26,Paid,25920.47,1814.43,0.00,27475.69,2026-07-30,USD,Net 15
70,INV-2023-000070,AR-2023-478623,940,184,12669,2,309,2023-07-24,2023-08-23,paid ,3802.55,0.00,731.16,0.00,2023-09-15,USD,Net 30
71,INV-2024-000071,AR-2024-812857,2264,1166,,9,42,2024-02-11,2024-02-26,Overdue,17954.40,0.00,0.00,0.00,,USD,net 30 
72,INV-2023-000072,AR-2023-383725,142,3508,5899,4,267,2023-09-03,2023-11-02,Paid,19270.94,963.55,0.00,20427.20,2023-10-07,EUR,Net 60
73,INV-2025-000073,AR-2025-241798,1499,3295,26185,8,153,2025-04-17,2025-05-17,Paid,13520.70,0.00,0.00,14331.95,2025-05-30,USD,net 30 
74,INV-2023-000074,AR-2023-276014,1037,233,9896,10,112,2023-07-08,2023-08-07,Paid,850.03,110.50,0.00,901.04,2023-08-03,usd,Net 15
75,INV-2024-000075,AR-2024-548751,891,787,6181,1,192,2024-07-05,2024-09-03,Open,26829.16,3487.79,0.00,0.00,,USD,Net 60
76,INV-2026-000076,AR-2026-359112,2487,3350,5358,3,160,2026-01-16,2026-02-15,Open,15887.94,1112.16,0.00,0.00,,CAD,Net 15
77,INV-2024-000077,AR-2024-197557,1433,2448,6545,1,56,2024-08-05,2024-08-20,Overdue,2380.05,166.60,0.00,0.00,,CAD,Net 30
78,INV-2023-000078,AR-2023-627027,1049,2571,13702,9,81,2023-02-17,2023-03-19,Overdue,11696.82,818.78,0.00,0.00,,CAD,net 30 
79,INV-2026-000079,AR-2026-153748,387,973,26759,10,81,2026-03-24,2026-05-08,Open,30297.03,0.00,0.00,0.00,,USD,net 30 
80,INV-2024-000080,AR-2024-662920,132,2706,16478,10,205,2024-09-27,2024-11-11,Paid,9480.60,1232.48,0.00,10049.43,2024-10-11,USD,Net 15
81,INV-2023-000081,AR-2023-238480,2196,2662,,6,290,2023-07-12,2023-09-10,Overdue,1298.89,0.00,0.00,0.00,,EUR,Net 30
82,INV-2025-000082,AR-2025-803519,550,1475,12798,4,174,2025-09-14,2025-11-13,Paid,5660.06,735.81,0.00,5999.66,2025-11-16,EUR,Net 60
83,INV-2024-000083,AR-2024-357179,1374,3444,22186,11,89,2024-12-16,2025-01-30,Paid,2097.78,272.71,0.00,2223.65,2025-02-16,USD,Net 45
84,INV-2025-000084,AR-2025-475462,1763,2262,5869,1,152,2025-10-08,2025-11-22,Overdue,1379.38,179.32,0.00,0.00,,CAD,Net 15
85,INV-2025-000085,AR-2025-141730,1383,1747,,3,149,2025-07-04,2025-07-19,Open,12754.16,637.71,0.00,0.00,,USD,Net 60
86,INV-2026-000086,AR-2026-132344,486,1306,13128,2,242,2026-02-20,2026-04-21,Paid,2113.62,105.68,0.00,2240.44,2026-03-03,USD,Net 30
87,INV-2023-000087,AR-2023-953518,2091,2598,22179,9,261,2023-02-17,2023-04-18,Paid,43018.74,0.00,0.00,45599.87,2023-03-10,USD,Net 60
88,INV-2025-000088,AR-2025-212828,2407,3286,21837,1,258,2025-03-14,2025-03-29,Overdue,7450.62,968.58,0.00,0.00,,USD,Net 60
89,INV-2026-000089,AR-2026-276238,1099,3447,16059,2,40,2026-05-09,2026-07-08,Paid,9216.46,645.15,0.00,9769.45,2026-05-16,CAD,Net 45
90,INV-2025-000090,AR-2025-760232,2115,1733,24277,8,269,2025-12-08,2026-02-06,Paid,25525.74,1786.80,0.00,27057.28,2026-02-13,EUR,Net 15
91,INV-2025-000091,AR-2025-126305,653,3498,1073,10,153,2025-02-14,2025-04-15,Paid,8236.83,1070.79,0.00,8731.04,2025-03-30,USD,Net 30
92,INV-2024-000092,AR-2024-367753,2203,2389,11588,10,121,2024-11-22,2024-12-22,Partially Paid,18843.11,942.16,0.00,1082.56,2024-12-27,usd,Net 15
93,INV-2025-000093,AR-2025-276943,812,333,15581,5,204,2025-02-26,2025-04-27,Paid,4927.56,640.58,0.00,5223.22,2025-03-31,GBP,Net 15
94,INV-2023-000094,AR-2023-386906,1988,386,10914,2,241,2023-06-29,2023-07-29,Overdue,11980.68,838.65,0.00,0.00,,USD,Net 15
95,INV-2023-000095,AR-2023-684058,1551,2814,,1,76,2023-04-09,2023-04-24,Open,3418.78,0.00,0.00,0.00,,USD,Net 30
96,INV-2025-000096,AR-2025-713073,2265,418,584,7,309,2025-05-24,2025-07-23,Paid,9414.12,1223.83,0.00,9978.96,2025-07-27,USD,net 30 
97,INV-2024-000097,AR-2024-918874,800,2031,4733,1,112,2024-12-22,2025-01-21,Voided,2090.39,0.00,0.00,0.00,,USD,Net 15
98,INV-2024-000098,AR-2024-561459,566,2832,1065,4,15,2024-05-09,2024-06-08,Overdue,14279.61,713.98,0.00,0.00,,USD,Net 15
99,INV-2023-000099,AR-2023-400424,468,1795,10291,9,218,2023-08-29,2023-10-13,Paid,10105.11,1313.66,0.00,10711.42,2023-09-21,USD,Net 60
100,INV-2025-000100,AR-2025-715297,2460,339,5015,2,178,2025-03-06,2025-04-05,Overdue,1271.43,0.00,68.87,0.00,,USD,net 30 
101,INV-2023-000101,AR-2023-327971,1612,17,18348,4,261,2023-09-04,2023-10-04,Paid,2994.39,209.61,0.00,3174.06,2023-10-25,USD,Net 30
102,INV-2025-000102,AR-2025-587913,2132,2693,,4,147,2025-02-26,2025-03-28,Paid,2590.69,129.53,0.00,2746.13,2025-03-14,USD,Net 30
103,INV-2023-000103,AR-2023-612273,1272,2380,,1,180,2023-10-11,2023-11-25,Paid,713.36,92.74,0.00,756.16,2023-10-26,USD,Net 60
104,INV-2025-000104,AR-2025-730182,2393,1439,18315,7,68,2025-05-06,2025-06-05,Paid,7832.34,0.00,0.00,8302.29,2025-05-28,CAD,Net 45
105,INV-2025-000105,AR-2025-923784,971,2278,8799,1,14,2025-01-14,2025-02-13,Paid,9168.42,1191.89,0.00,9718.52,2025-02-06,USD,net 30 
106,INV-2025-000106,AR-2025-923836,1349,2407,11076,5,290,2025-02-24,2025-04-10,Paid,16744.92,1172.14,0.00,17749.62,2025-04-02,GBP,Net 30
107,INV-2024-000107,AR-2024-911297,112,760,1112,7,113,2024-01-15,2024-03-15,Paid,12920.36,1679.65,0.00,13695.58,2024-01-25,USD,Net 60
108,INV-2025-000108,AR-2025-963824,426,3643,8927,2,190,2025-01-01,2025-01-16,Paid,14203.25,710.16,0.00,15055.44,2025-01-21,USD,Net 30
109,INV-2023-000109,AR-2023-551825,987,1228,14363,3,173,2023-05-02,2023-06-01,Paid,27421.77,3564.83,0.00,29067.08,2023-07-06,USD,net 30 
110,INV-2023-000110,AR-2023-397167,176,90,,4,282,2023-12-21,2024-01-20,Overdue,7893.78,1026.19,0.00,0.00,,USD,Net 30
111,INV-2024-000111,AR-2024-591719,561,809,3394,2,209,2024-01-14,2024-03-14,Paid,4735.40,615.60,0.00,5019.52,2024-02-04,USD,Net 30
112,INV-2023-000112,AR-2023-386765,1010,2712,5282,2,226,2023-06-11,2023-07-26,Paid,3897.39,0.00,0.00,4131.23,2023-08-13,CAD,Net 60
113,INV-2023-000113,AR-2023-278265,1649,1120,3216,10,89,2023-01-15,2023-03-01,Open,3227.88,0.00,0.00,0.00,,usd,Net 15
114,INV-2025-000114,AR-2025-357172,699,67,26206,7,147,2025-11-16,2026-01-15,Paid,1592.18,206.98,0.00,1687.71,2025-11-30,USD,Net 30
115,INV-2024-000115,AR-2024-259242,1204,504,17524,8,285,2024-05-12,2024-06-11,Voided,3044.16,152.21,0.00,0.00,,USD,net 30 
116,INV-2023-000116,AR-2023-791126,1184,1223,20356,10,76,2023-12-23,2024-02-21,Paid,2781.50,194.71,0.00,2948.39,2024-01-31,USD,Net 45
117,INV-2026-000117,AR-2026-651141,543,1977,11832,4,257,2026-07-08,2026-08-07,Overdue,11976.75,0.00,2508.91,0.00,,USD,net 30 
118,INV-2024-000118,AR-2024-530175,792,3108,,6,67,2024-09-24,2024-10-09,Paid,10424.83,521.24,0.00,11050.32,2024-09-27,USD,Net 60
119,INV-2023-000119,AR-2023-754366,710,3046,5548,2,267,2023-12-05,2024-01-04,paid ,25889.21,1812.24,0.00,0.00,2024-01-20,USD,Net 30
120,INV-2024-000120,AR-2024-637151,953,323,1868,10,258,2024-12-28,2025-01-27,paid ,37464.52,4870.39,0.00,0.00,2025-01-12,CAD,Net 60
121,INV-2024-000121,AR-2024-543994,204,618,18185,7,106,2024-08-01,2024-08-31,Overdue,1671.50,217.29,0.00,0.00,,CAD,net 30 
122,INV-2023-000122,AR-2023-883521,762,3550,9306,8,191,2023-08-01,2023-09-30,Paid,8925.60,624.79,0.00,9461.14,2023-08-11,EUR,Net 15
123,INV-2025-000123,AR-2025-660713,588,389,21959,3,257,2025-12-24,2026-01-23,Overdue,36080.59,4690.48,0.00,0.00,,EUR,Net 15
124,INV-2023-000124,AR-2023-863303,481,1535,21003,8,189,2023-02-09,2023-04-10,Paid,2774.69,138.73,0.00,2941.17,2023-02-20,USD,Net 15
125,INV-2026-000125,AR-2026-493195,1912,3180,10258,7,224,2026-04-15,2026-05-15,Paid,23004.23,0.00,0.00,24384.48,2026-05-27,USD,Net 60
126,INV-2023-000126,AR-2023-681850,233,3348,4505,1,108,2023-04-07,2023-05-22,Paid,1968.00,137.76,0.00,2086.08,2023-05-21,USD,Net 15
127,INV-2025-000127,AR-2025-613159,2340,1540,24703,3,156,2025-09-28,2025-11-27,Partially Paid,19392.97,2521.09,0.00,15507.14,2025-12-05,USD,Net 45
128,INV-2024-000128,AR-2024-415521,1976,932,25053,4,94,2024-04-19,2024-05-04,Paid,14275.54,713.78,0.00,15132.08,2024-06-20,USD,net 30 
129,INV-2024-000129,AR-2024-570571,518,3438,24967,2,213,2024-07-26,2024-08-25,Paid,8060.97,403.05,0.00,8544.63,2024-08-07,CAD,Net 60
130,INV-2025-000130,AR-2025-388242,811,1037,17630,3,83,2025-01-03,2025-02-17,Overdue,134776.15,0.00,0.00,0.00,,USD,Net 15
131,INV-2023-000131,AR-2023-982122,295,1542,17161,11,262,2023-11-12,2023-12-12,Paid,2940.65,382.28,0.00,3117.09,2023-11-28,USD,Net 60
132,INV-2025-000132,AR-2025-154287,1451,2682,10474,4,33,2025-05-17,2025-06-16,Paid,15354.31,767.72,0.00,16275.57,2025-06-30,USD,Net 30
133,INV-2024-000133,AR-2024-476101,1703,2303,4679,6,224,2024-10-21,2024-12-05,Paid,19577.82,2545.12,0.00,20752.49,2024-11-11,CAD,Net 15
134,INV-2024-000134,AR-2024-237822,1923,359,17690,9,154,2024-09-10,2024-10-10,Partially Paid,17371.14,2258.25,0.00,13053.73,2024-10-23,USD,Net 15
135,INV-2026-000135,AR-2026-756175,272,201,4169,4,291,2026-01-29,2026-02-13,Partially Paid,1929.89,135.09,0.00,768.38,2026-02-26,USD,net 30 
136,INV-2024-000136,AR-2024-612760,2335,2281,14080,1,52,2024-09-27,2024-11-26,paid ,19581.86,1370.73,0.00,0.00,2024-10-17,GBP,Net 15
137,INV-2023-000137,AR-2023-980089,66,153,7594,7,267,2023-07-12,2023-08-11,Paid,8355.42,0.00,0.00,8856.74,2023-08-07,USD,Net 30
138,INV-2024-000138,AR-2024-690495,1747,680,8360,5,140,2024-12-19,2025-01-18,Open,9425.69,659.80,0.00,0.00,,USD,Net 45
139,INV-2026-000139,AR-2026-492249,1152,6,16720,11,160,2026-07-09,2026-08-08,paid ,19605.49,2548.71,0.00,0.00,2026-09-03,USD,Net 15
140,INV-2023-000140,AR-2023-493484,2405,1763,8185,9,241,2023-08-04,2023-10-03,Paid,33307.33,1665.37,3720.97,31584.80,2023-08-09,GBP,Net 30
141,INV-2025-000141,AR-2025-648453,2061,2849,,4,56,2025-04-17,2025-06-16,Open,3517.76,175.89,0.00,0.00,,usd,Net 15
142,INV-2026-000142,AR-2026-389767,70,1575,1275,9,40,2026-01-02,2026-02-01,Open,2342.78,304.56,0.00,0.00,,USD,Net 45
143,INV-2025-000143,AR-2025-569019,1697,1319,2973,8,193,2025-02-07,2025-03-09,Paid,13980.73,0.00,0.00,14819.57,2025-03-26,USD,Net 15
144,INV-2025-000144,AR-2025-806546,2256,1561,26446,6,281,2025-02-06,2025-03-08,Paid,5730.69,0.00,0.00,6074.53,2025-03-10,GBP,Net 60
145,INV-2023-000145,AR-2023-342092,1816,2584,7436,3,64,2023-04-12,2023-05-12,Paid,45635.80,2281.79,0.00,48373.95,2023-06-16,CAD,Net 30
146,INV-2023-000146,AR-2023-668682,669,1500,12160,3,76,2023-03-19,2023-04-03,paid ,7496.43,974.54,0.00,0.00,2023-03-29,USD,Net 15
147,INV-2024-000147,AR-2024-127373,810,707,,11,31,2024-11-04,2024-12-04,Paid,13939.62,696.98,0.00,14776.00,2024-12-09,USD,net 30 
148,INV-2026-000148,AR-2026-534657,1944,3370,14119,8,69,2026-01-06,2026-02-20,Overdue,9473.92,1231.61,0.00,0.00,,USD,Net 45
149,INV-2025-000149,AR-2025-781742,1427,2740,23197,8,1,2025-12-05,2026-01-04,Paid,5536.04,276.80,0.00,5868.21,2025-12-10,GBP,Net 15
150,INV-2024-000150,AR-2024-243244,626,2620,2824,11,52,2024-03-07,2024-03-22,Open,5384.77,700.02,0.00,0.00,,USD,Net 30
151,INV-2026-000151,AR-2026-998589,1107,2476,5958,7,199,2026-04-08,2026-06-07,Paid,20960.01,2724.80,2790.49,19427.12,2026-04-30,USD,Net 60
152,INV-2026-000152,AR-2026-170380,2264,1166,12797,9,262,2026-05-30,2026-06-14,Paid,2113.64,147.95,792.36,1448.10,2026-07-11,USD,Net 15
153,INV-2023-000153,AR-2023-216187,216,1415,26955,1,259,2023-10-23,2023-12-22,Paid,7155.22,357.76,0.00,7584.54,2023-10-31,USD,Net 30
154,INV-2025-000154,AR-2025-406867,1411,1102,22274,1,153,2025-12-16,2026-01-15,Paid,1894.81,246.33,0.00,2008.50,2026-01-01,USD,Net 45
155,INV-2026-000155,AR-2026-547549,1855,1856,492,6,196,2026-04-10,2026-05-10,Paid,13527.98,1758.64,0.00,14339.66,2026-06-14,USD,Net 30
156,INV-2025-000156,AR-2025-885671,706,666,25929,3,78,2025-04-12,2025-05-12,Overdue,31621.93,0.00,0.00,0.00,,EUR,Net 45
157,INV-2024-000157,AR-2024-751613,448,93,17923,5,156,2024-08-02,2024-09-01,Partially Paid,1193.48,155.15,0.00,448.77,2024-08-08,USD,Net 60
158,INV-2024-000158,AR-2024-967726,1363,558,19873,7,149,2024-09-07,2024-11-06,Paid,4759.94,0.00,0.00,5045.54,2024-09-14,USD,Net 60
159,INV-2024-000159,AR-2024-677119,2199,3341,25244,8,223,2024-05-27,2024-06-26,Open,2616.25,340.11,0.00,0.00,,CAD,Net 30
160,INV-2024-000160,AR-2024-193367,239,756,22869,3,93,2024-03-17,2024-04-16,Overdue,32244.02,4191.72,0.00,0.00,,USD,Net 45
161,INV-2025-000161,AR-2025-415577,237,1110,25628,6,123,2025-01-26,2025-02-10,Paid,6197.51,433.83,0.00,6569.36,2025-03-22,USD,Net 60
162,INV-2024-000162,AR-2024-637085,2244,2013,16042,7,204,2024-04-18,2024-05-03,Overdue,9471.15,0.00,0.00,0.00,,USD,Net 15
163,INV-2025-000163,AR-2025-145007,2387,719,,2,107,2025-12-24,2026-01-23,Paid,4028.63,523.72,0.00,4270.35,2026-01-13,EUR,Net 30
164,INV-2023-000164,AR-2023-485867,2160,3298,20360,3,236,2023-07-15,2023-09-13,Voided,7527.33,376.37,0.00,0.00,,CAD,Net 15
165,INV-2023-000165,AR-2023-733223,1553,2923,889,4,20,2023-05-08,2023-06-07,Paid,25056.38,1252.82,4695.72,21864.04,2023-05-16,USD,net 30 
166,INV-2025-000166,AR-2025-888090,263,2716,9527,11,16,2025-09-20,2025-10-20,Paid,828.38,57.99,0.00,878.09,2025-11-25,USD,Net 60
167,INV-2026-000167,AR-2026-242814,1042,981,23636,7,251,2026-05-19,2026-07-18,Paid,10244.31,0.00,0.00,10858.96,2026-07-05,EUR,Net 15
168,INV-2024-000168,AR-2024-149248,1628,2761,,11,198,2024-07-12,2024-08-11,Paid,1462.07,190.07,0.00,1549.79,2024-07-22,USD,Net 45
169,INV-2024-000169,AR-2024-999442,1060,1476,16756,11,261,2024-01-01,2024-03-01,Paid,1920.83,0.00,0.00,2036.07,2024-01-20,USD,Net 15
