address_id,customer_id,region_id,address_type,site_name,address_line_1,city,postal_code,is_primary,active_flag,validated_on
68,28,11,Billing,Harbor Specialty Produce M HQ,8828 Marlow Parkway,EINDHOVEN,B9 3B,True,True,2024-10-26
69,29,1,Billing,Orchard Biologics Labs HQ,8447 Ridgeview Road,Boston,31729,True,True,2023-01-24
70,29,1,Delivery,Orchard Biologics Labs DC,8879 Marlow Parkway,Newark,44647,False,True,
71,29,1,Returns,Orchard Biologics Labs Plant,810 Ridgeview Road,Portland,23492,False,True,2025-02-19
72,29,1,Delivery,Orchard Biologics Labs Annex,1913 Mill Lane,Boston,42321,False,True,2025-10-14
73,30,11,Billing,Summit Meal Systems Group HQ,726 Crescent Drive,Eindhoven,SE4 6C,True,True,2025-01-19
74,30,11,Production Site,Summit Meal Systems Group DC,5281 Mill Lane,Eindhoven,M4 4A,False,True,2023-01-13
75,31,11,Billing,Harbor Ingredients Co-op HQ,603 Ridgeview Road,Eindhoven,EH9 7B,True,True,2024-11-06
76,32,4,Billing,Crescent Biologics Group HQ,2346 Ridgeview Road,Phoenix,41453,True,True,2024-04-16
77,33,7,Billing,granite foods supply HQ,3065 Mill Lane,Hamilton,54395,True,True,2024-06-17
78,34,11,Billing,Cedar Ingredients Partners HQ,4517 Juniper Avenue,Rotterdam,SE7 7A,True,True,2024-07-26
79,35,3,Billing,Everfield Pet Nutrition Gr HQ,187 Crescent Drive,Minneapolis,25540,True,True,2026-02-14
80,35,11,Delivery,everfield pet nutrition gr dc,2636 Vine Street,Utrecht,EH8 4A,False,True,2024-12-15
81,35,11,Returns,Everfield Pet Nutrition Gr Plant,3211 Crescent Drive,Eindhoven,SE9 7A,False,True,2026-02-26
82,36,4,Billing,Aster Dairy Co-op HQ,177 Mill Lane,Las Vegas,26363,True,True,2025-05-19
83,36,9,Cross-Dock,Aster Dairy Co-op DC,2027 Mill Lane,Leeds,M6 9A,False,True,2025-02-13
84,37,6,Billing,Solace Meal Systems Foods HQ,8567 Harvester Road,Austin,35780,True,True,2023-11-12
85,37,9,Returns,Solace Meal Systems Foods DC,9705 Crescent Drive,Manchester,B3 7A,False,True,2024-05-22
86,37,9,Production Site,Solace Meal Systems Foods Plant,8272 Ridgeview Road,Bristol,EH6 9C,False,True,2024-10-20
87,38,1,Billing,Summit Laboratories Logist HQ,2687 Marlow Parkway,Portland,71344,True,True,2025-10-18
88,38,1,Delivery,Summit Laboratories Logist DC,7226 Ridgeview Road,Newark,90165,False,True,2024-04-20
89,39,11,Billing,Pioneer Foods Foods HQ,811 Marlow Parkway,Amsterdam,B4 4D,True,True,2025-05-26
90,39,11,Delivery,Pioneer Foods Foods DC,2458 Ridgeview Road,Eindhoven,L5 1D,False,True,2024-02-19
91,39,11,Cross-Dock,Pioneer Foods Foods Plant,1602 Station Road,Amsterdam,SE6 7C,False,True,2025-03-02
92,39,11,Cross-Dock,Pioneer Foods Foods Annex,7379 Canal Street,Utrecht,EH4 9D,False,False,2023-06-19
93,40,4,Billing,Harbor Specialty Produce G HQ,357 Marlow Parkway,Phoenix,55960,True,True,
94,41,2,Billing,Aster Floral Logistics Man HQ,6638 Crescent Drive,Nashville,90000,True,True,2025-12-30
95,42,7,Billing,Brightwell Dairy Foods HQ,105 Foundry Way,Ottawa,99810,True,True,2024-04-10
96,43,1,Billing,Keystone Floral Logistics  HQ,1355 Juniper Avenue,Portland,28561,True,True,2023-12-01
97,43,1,Returns,Keystone Floral Logistics  DC,3483 Canal Street,Portland,48718,False,True,2024-04-23
98,44,8,Billing,Helix Ingredients Partners HQ,5663 Juniper Avenue,Sherbrooke,82704,True,True,2023-04-18
99,45,4,Billing,Forge Specialty Produce Lo HQ,5792 Marlow Parkway,Albuquerque,35629,True,True,2025-03-13
100,46,7,Billing,Northwind Pharma Partners HQ,6403 Dockside Lane,Ottawa,79660,True,True,2026-02-01
101,46,7,Production Site,Northwind Pharma Partners DC,8491 Crescent Drive, London,76619,False,True,2024-02-03
102,46,2,Delivery,Northwind Pharma Partners Plant,9660 Harvester Road,Nashville,95979,False,True,2024-01-16
103,46,5,Cross-Dock,Northwind Pharma Partners Annex,2561 Vine Street,Oakland,64787,False,True,2023-12-29
104,47,3,Billing,Riverbend Pharma Manufactu HQ,1622 Vine Street,Detroit,85805,True,False,2024-08-16
105,48,1,Billing,Cobalt Foods Mfg HQ,8285 Vine Street,Hartford,46244,True,True,2023-03-05
106,48,10,Delivery,Cobalt Foods Mfg DC,2291 Marlow Parkway,Hamburg,EH9 1A,False,True,2025-05-12
107,48,10,Cross-Dock,Cobalt Foods Mfg Plant,1504 Juniper Avenue,Cologne,B3 1A,False,True,2025-11-19
108,49,2,Billing,SUMMIT BEVERAGE PARTNERS HQ,3668 Marlow Parkway,Atlanta,78915,True,True,2024-01-14
109,49,6,Cross-Dock,Summit Beverage Partners DC,1163 Dockside Lane,Dallas,51446,False,True,2025-11-29
110,49,5,Cross-Dock,Summit Beverage Partners Plant,5365 Ridgeview Road,Seattle,99185,False,True,2026-03-01
111,50,9,Billing,Aster Specialty Produce Co HQ,1791 Foundry Way,Bristol,B2 1B,True,True,
112,50,7,Cross-Dock,Aster Specialty Produce Co DC,3430 Canal Street,London,24476,False,True,2024-05-05
113,50,9,Delivery,Aster Specialty Produce Co Plant,664 Vine Street,Manchester,B6 1A,False,True,2023-02-24
114,50,9,Returns,Aster Specialty Produce Co Annex,8671 Canal Street,Manchester,EH2 4B,False,True,2025-12-25
115,51,10,Billing,Riverbend Pharma Labs HQ,1952 Juniper Avenue,Hamburg,M8 2B,True,True,2025-02-26
116,52,8,Billing,Vantage Biologics Manufact HQ,7913 Marlow Parkway,Montreal,64575,True,True,2024-08-23
117,53,4,Billing,Briar Seafood Holdings HQ,8485 Market Row,Las Vegas,20068,True,True,
118,53,4,Cross-Dock,Briar Seafood Holdings DC,7194 Crescent Drive,Phoenix,18799,False,True,2025-06-29
119,53,4,Delivery,Briar Seafood Holdings Plant,15 Station Road,Albuquerque,39529,False,True,2024-10-09
120,54,8,Billing,Orchard Pharma Supply HQ,6521 Station Road,Montreal,99752,True,True,
121,55,9,Billing,Crown Meal Systems Distrib HQ,5638 Crescent Drive,Bristol,SE2 5A,True,True,2023-02-23
122,55,9,Delivery,Crown Meal Systems Distrib DC,9356 Station Road,Manchester,B1 7B,False,True,2024-11-19
123,56,4,Billing,Bluevale Laboratories Hold HQ,6459 Harvester Road,Las Vegas,11051,True,True,2023-07-21
124,57,10,Billing,Summit Pet Nutrition Holdi HQ,5923 Crescent Drive,Hamburg,M9 5D,True,True,2025-03-30
125,58,4,Billing,Keystone Cold Foods Manufa HQ,4488 Foundry Way,Albuquerque,46678,True,True,2025-03-13
126,58,4,Delivery,Keystone Cold Foods Manufa DC,354 Harvester Road,phoenix,13626,False,True,2025-04-10
127,58,4,Returns,Keystone Cold Foods Manufa Plant,8698 Crescent Drive,Albuquerque,75758,False,True,2024-04-10
128,59,1,Billing,Mosaic Meal Systems Co-op HQ,8334 Dockside Lane,Newark,94867,True,True,2023-10-20
129,59,1,Delivery,Mosaic Meal Systems Co-op DC,9154 Harvester Road,Portland,96280,False,True,2023-10-07
130,59,3,Cross-Dock,MOSAIC MEAL SYSTEMS CO-OP PLANT,2676 Mill Lane,Detroit,46258,False,True,2024-05-01
131,59,1,Returns,Mosaic Meal Systems Co-op Annex,8235 Juniper Avenue,Hartford,34520,False,True,2023-10-17
132,60,4,Billing,Helix Foods Co-op HQ,2662 Marlow Parkway,Las Vegas,86606,True,True,
133,60,4,Returns,Helix Foods Co-op DC,4527 Juniper Avenue,Albuquerque,29464,False,True,
134,61,9,Billing,lantern foods logistics HQ,8104 Canal Street,Manchester,L4 3D,True,True,2024-03-18
135,61,9,Delivery,lantern foods logistics DC,5910 Marlow Parkway,Leeds,SE6 8C,False,True,2024-03-07
136,61,7,Cross-Dock,lantern foods logistics Plant,9036 Ridgeview Road,London,97062,False,True,
137,61,9,Delivery,lantern foods logistics Annex,8478 Harvester Road,Leeds,B4 4A,False,True,2024-08-12
138,62,4,Billing,Rivebrend Beverage Group HQ,1424 Vine Street,Phoenix,85646,True,True,2024-04-20
139,63,8,Billing,Summit Ingredients Co-op HQ,9081 Station Road,Montreal,14189,True,True,2025-12-15
140,63,8,Cross-Dock,Summit Ingredients Co-op DC,4986 Station Road,Laval,15823,False,True,2023-11-01
141,64,3,Billing,Oakmont Beverage Partners HQ,1933 Mill Lane,Columbus,64235,True,True,2025-04-14
142,64,3,Returns,Oakmont Beverage Partners DC,4446 Dockside Lane,Columbus,89734,False,True,2024-06-23
143,64,3,Production Site,Oakmont Beverage Partners Plant,9218 Vine Street,Columbus,42322,False,True,2023-07-04
144,65,6,Billing,Briar Nutrition Manufactur HQ,8289 Dockside Lane,Houston,26092,True,True,2024-12-05
145,65,4,Production Site,Briar Nutrition Manufactur DC,9755 Harvester Road,Denver,38689,False,True,2024-02-24
146,65,6,Production Site,Briar Nutrition Manufactur Plant,7425 Station Road,Austin,35825,False,True,2025-01-01
147,66,7,Billing,Forge Nutrition Supply HQ,1936 Mill Lane,Toronto,37721,True,False,2025-09-05
148,67,11,Billing,Westline Specialty Produce HQ,5381 Crescent Drive,Amsterdam,M3 1C,True,True,2023-05-29
149,67,11,Delivery,Westline Specialty Produce DC,3301 Ridgeview Road,Rotterdam,B5 4A,False,True,2024-04-16
150,68,2,Billing,Northwind Seafood Manufact HQ,8147 Foundry Way,Orlando,75887,True,False,2024-07-29
151,68,2,Production Site,Northwind Seafood Manufact DC,2086 Vine Street,Nashville,79702,False,True,2023-03-22
152,68,2,Delivery,Northwind Seafood Manufact Plant,1990 Mill Lane,Atlanta,15567,False,True,2023-06-12
153,69,3,Billing,SOLACE LABORATORIES GROUP HQ,6220 Foundry Way, Minneapolis,23373,True,True,2024-02-04
154,69,3,Production Site,SOLACE LABORATORIES GROUP DC,2943 Ridgeview Road,Detroit,46681,False,True,2023-11-12
155,70,9,Billing,Aster Cold Foods Supply HQ,6328 Marlow Parkway,London,L7 5B,True,True,
156,71,1,Billing,Cardinal Nutrition Partner HQ,3263 Station Road,Hartford,68677,True,True,2025-10-12
157,72,3,Billing,Northwind Floral Logistics HQ,8324 Mill Lane,Detroit,26833,True,True,2023-11-07
158,73,4,Billing,RIVERBEND DAIRY HOLDINGS HQ,166 Canal Street,Phoenix,68562,True,True,2023-04-23
159,73,4,Delivery,RIVERBEND DAIRY HOLDINGS DC,1786 Ridgeview Road,Las Vegas,24281,False,True,
160,74,5,Billing,Bluevale Cold Foods Distri HQ,6588 Station Road,San Diego,59651,True,True,2024-01-01
161,74,11,Production Site,Bluevale Cold Foods Distri DC,508 Marlow Parkway,Amsterdam,B7 9A,False,True,2025-09-09
162,74,5,Returns,Bluevale Cold Foods Distri Plant,6952 Marlow Parkway,Los Angeles,33276,False,True,2025-09-09
163,74,5,Cross-Dock,Bluevale Cold Foods Distri Annex,1428 Dockside Lane,Los Angeles,36516,False,True,2023-10-16
164,75,9,Billing,KEYSTONE FLORAL LOGISTICS  HQ,1328 Marlow Parkway,London,L1 7C,True,True,2025-07-10
165,76,9,Billing,Everfield Beverage Foods HQ,5254 Juniper Avenue,Bristol,L3 8C,True,True,2024-06-23
166,77,5,Billing,Bluevale Beverage Supply HQ,8120 Vine Street,Oakland,64121,True,True,2025-06-18
167,77,2,Delivery,Bluevale Beverage Supply DC,354 Canal Street,Nashville,10220,False,True,2025-10-16
168,78,3,Billing,Briar Beverage Distributio HQ,3960 Harvester Road,Detroit,98861,True,True,2023-10-10
169,79,6,Billing,Forge Specialty Produce Pa HQ,7067 Ridgeview Road,San Antonio,71964,True,True,2023-04-25
170,80,8,Billing,Cobalt Cold Foods Supply HQ,5156 Juniper Avenue,Montreal,89449,True,True,2023-09-11
171,80,8,Returns,Cobalt Cold Foods Supply DC,1091 Marlow Parkway,Sherbrooke,66842,False,True,2025-09-19
172,80,8,Cross-Dock,Cobalt Cold Foods Supply Plant,3285 Foundry Way, Quebec City,20225,False,True,2024-10-15
173,81,6,Billing,Summit Floral Logistics Fo HQ,5138 Foundry Way,San Antonio,78703,True,True,2025-11-02
174,82,7,Billing,Cedar Seafood Holdings HQ,8986 Canal Street,London,37952,True,True,2025-03-25
175,83,7,Billing,Cardinal Laboratories Co-o HQ,9878 Marlow Parkway,Toronto,93345,True,False,2023-11-20
176,84,7,Billing,Crown Foods Partners HQ,5943 Station Road,Toronto,22845,True,True,2024-08-02
177,84,5,Returns,Crown Foods Partners DC,1206 Harvester Road,Seattle,84427,False,True,2025-03-21
178,85,5,Billing,Meridian Beverage Foods HQ,9201 Harvester Road,Los Angeles,65537,True,True,2025-11-07
179,85,5,Delivery,Meridian Beverage Foods DC,2427 Ridgeview Road,Oakland,22622,False,True,2024-03-31
180,85,1,Cross-Dock,Meridian Beverage Foods Plant,3785 Dockside Lane,Portland,39070,False,True,2025-03-07
181,86,6,Billing,Cobalt Meal Systems Group HQ,8304 Ridgeview Road,San Antonio,29782,True,True,2025-08-18
182,86,2,Production Site,Cobalt Meal Systems Group DC,9676 Marlow Parkway,Nashville,79132,False,True,2023-07-25
183,87,7,Billing,Cardinal Nutrition Holding HQ,653 Station Road,Ottawa,51702,True,True,
184,87,7,Cross-Dock,Cardinal Nutrition Holding DC,7848 Dockside Lane,London,84634,False,False,2024-11-02
185,87,3,Delivery,Cardinal Nutrition Holding Plant,4717 Canal Street,Chicago,65049,False,True,2023-07-02
186,87,7,Returns,Cardinal Nutrition Holding Annex,6692 Foundry Way,Ottawa,32208,False,True,2024-07-16
187,88,6,Billing,Lantern Nutritino Labs HQ,2435 Foundry Way,Houston,69401,True,True,2023-12-17
188,89,4,Billing,Trinity Specialty Produce  HQ,2627 Dockside Lane,Las Vegas,32449,True,True,2024-04-04
189,89,4,Production Site,Trinity Specialty Produce  DC,1879 Canal Street,Albuquerque,78670,False,True,2025-05-13
190,89,6,Delivery,Trinity Specialty Produce  Plant,6167 Vine Street,Houston,97212,False,True,
191,90,5,Billing,Westline Dairy Distributio HQ,2632 Market Row,Los Angeles,88275,True,True,2025-12-17
192,91,8,Billing,Briar Cold Foods Group HQ,5427 Harvester Road,Sherbrooke,85507,True,False,2026-01-08
193,91,8,Returns,Briar Cold Foods Group DC,9101 Juniper Avenue,Montreal,48573,False,True,2026-03-02
194,91,8,Cross-Dock,Briar Cold Foods Group Plant,1403 Dockside Lane,Laval,15053,False,True,
195,92,6,Billing,Summit Pharma Labs HQ,8859 Crescent Drive,Austin,19415,True,True,2024-03-11
196,92,6,Returns,Summit Pharma Labs DC,7928 Crescent Drive,San Antonio,54992,False,True,2025-11-10
197,93,7,Billing,Summit Seafood Labs HQ,6479 Mill Lane,hamilton,85188,True,True,2025-06-10
198,93,7,Cross-Dock,Summit Seafood Labs DC,3628 Marlow Parkway,London,38730,False,True,2024-12-28
199,93,7,Returns,Summit Seafood Labs Plant,4070 Juniper Avenue,Toronto,37304,False,True,2024-08-30
200,94,6,Billing,Everfield Ingredients Logi HQ,8269 Dockside Lane,San Antonio,87075,True,True,2026-02-02
201,94,7,Delivery,Everfield Ingredients Logi DC,9687 Canal Street,Toronto,14881,False,True,2024-06-27
202,94,6,Delivery,Everfield Ingredients Logi Plant,8181 Market Row,Houston,11854,False,True,2023-01-03
203,95,5,Billing,Cedar Floral Logistics Gro HQ,6583 Dockside Lane,Seattle,36042,True,True,2025-01-17
204,95,5,Returns, Cedar Floral Logistics Gro DC,9593 Crescent Drive,Los Angeles,34753,False,True,2024-05-04
205,96,7,Billing,Aster Pharma Partners HQ,3009 Dockside Lane,Hamilton,17191,True,True,2023-12-04
206,97,7,Billing,Northwind Beverage Holding HQ,3310 Dockside Lane,Toronto,68299,True,True,2024-12-12
207,97,7,Production Site,Northwind Beverage Holding DC,9119 Vine Street,Hamilton,30999,False,True,2023-01-30
208,97,7,Production Site,Northwind Beverage Holding Plant,5637 Vine Street,London,60000,False,False,2023-12-23
209,98,9,Billing,Cobalt Cold Foods Manufact HQ,3575 Foundry Way,London,L1 3A,True,False,2023-12-04
210,98,9,Cross-Dock,Cobalt Cold Foods Manufact DC,9005 Crescent Drive,Bristol,B9 4D,False,True,2024-08-24
211,99,3,Billing,Aster Foods Co-op HQ,2112 Dockside Lane,Chicago,90927,True,True,2025-12-19
212,99,8,Cross-Dock,Aster Foods Co-op DC,3492 Vine Street,Shebrrooke,19687,False,True,2024-11-16
213,100,11,Billing,Harbor Cold Foods Group HQ,2942 Market Row,Eindhoven,SE4 6B,True,True,2024-08-21
214,101,11,Billing, Vantage Nutrition Group HQ,9265 Canal Street,Amsterdam,EH7 1B,True,True,
215,102,11,Billing,Vantage Pharma Supply HQ,1261 Harvester Road,Amsterdam,SE4 1D,True,True,2024-06-07
216,103,10,Billing,Pioneer Dairy Distribution HQ,6708 Crescent Drive,Munich,L6 6B,True,True,2023-08-31
217,104,9,Billing,Solace Specialty Produce L HQ,2216 Juniper Avenue,Manchester,EH7 5A,True,True,2025-05-02
218,104,9,Cross-Dock,Solace Specialty Produce L DC,7076 Dockside Lane,London,SE1 3C,False,True,2024-01-09
219,104,9,Delivery,Solace Specialty Produce L Plant,4895 Juniper Avenue,Bristol,M3 4B,False,True,2024-01-15
220,105,2,Billing,Northwind Floral Logistics HQ,5718 Vine Street,Orlando,33951,True,True,2025-05-31
221,105,2,Returns,Northwind Floral Logistics DC ,9256 Vine Street,Nashville,87872,False,True,2024-06-30
222,105,4,Delivery,Northwind Floral Logistics Plant,1344 Mill Lane,Albuquerque,32203,False,True,2024-12-24
223,105,2,Delivery,Northwind Floral Logistics Annex,1577 Mill Lane,Atlanta,44790,False,True,2024-06-13
224,106,9,Billing,vantage beverage supply HQ,8746 Market Row,Manchester,B6 8B,True,True,2024-07-04
225,106,9,Cross-Dock,vantage beverage supply DC,4657 Harvester Road,Bristol,M8 2B,False,True,2023-09-27
226,106,9,Cross-Dock,vantage beverage supply Plant,5849 Dockside Lane,Bristol,L4 8D,False,False,2024-10-23
227,107,6,Billing,Keystone Floral Logistics  HQ,8950 Market Row,Houston,37131,True,True,2024-07-08
228,108,2,Billing,Cardinal Laboratories Labs HQ,2714 Ridgeview Road,Orlando,45770,True,True,2024-01-03
229,108,2,Cross-Dock,Cardinal Laboratories Labs DC ,922 Station Road,Nashville,28617,False,True,2025-11-04
230,109,1,Billing,Granit eBiologics Labs HQ,948 Juniper Avenue,HARTFORD,95610,True,True,2024-09-09
231,110,3,Billing,Westline Meal Systems Mfg HQ,9171 Station Road,Chicago,22362,True,True,2025-12-13
232,111,2,Billing,Everfield Specialty Produc HQ,8022 Vine Street,Charlotte,37824,True,True,
233,111,6,Delivery,Everfield Specialty Produc DC,9018 Ridgeview Road,Houston,78316,False,True,
234,112,7,Billing,Keystone Biologics Holding HQ,5708 Vine Street,Hamilton,71283,True,True,2025-08-25
235,112,7,Returns,Keystone Biologics Holding DC,8812 Station Road,Ottawa,30059,False,True,2025-09-27
236,112,7,Delivery,Keystone Biologics Holding Plant,1485 Juniper Avenue,Toronto,22775,False,True,2024-11-13
237,113,8,Billing,Summit Laboratories Group HQ,8749 Marlow Parkway,Montreal,44932,True,True,2025-04-04
238,113,8,Delivery,Summit Laboratories Group DC,5602 Market Row,Laval,50030,False,True,2023-06-06
239,114,11,Billing,Keystone Dairy Foods HQ,1626 Dockside Lane,Rotterdam,SE2 5A,True,True,2024-12-04
240,115,9,Billing,Meridian Ingredients Partn HQ,5767 Dockside Lane,Manchester,SE4 6B,True,True,2024-10-02
241,116,3,Billing,Crown Specialty Produce Ma HQ,2923 Harvester Road,Detroit,80899,True,True,2024-05-10
242,117,9,Billing,Forge Meal Systems Holding HQ,3327 Marlow Parkway,Leeds,M2 8D,True,True,2024-12-08
243,117,9,Delivery,Forge Meal Systems Holding DC,6825 Mill Lane,Manchester,SE5 3D,False,False,2024-08-17
244,118,10,Billing,Westline Cold Foods Group HQ,6348 Vine Street,Cologne,M7 5B,True,True,2024-12-27
245,118,10,Returns,Westline Cold Foods Group DC,6420 Canal Street,Hamburg,EH5 1C,False,True,2024-07-14
