order_id,order_number,customer_id,contract_id,delivery_address_id,fulfillment_region_id,created_by_employee_id,order_date,requested_delivery_date_raw,order_status,priority_level,customer_po_number,cancellation_reason,order_channel
68,ORD-2023-000068,2080,3105,4379,1,17,2023-09-02,9/11/2023,Delivered,Expedite,PO-575686,,Account Team
69,ORD-2023-000069,2358,2821,4983,4,86,2023-07-06,2023-07-18,Returned,Standard,PO-343079,,Manual Upload
70,ORD-2024-000070,1826,2881,3857,1,167,2024-05-17,30/05/2024,Cancelled,Standard,pending,Duplicate order,Account Team
71,ORD-2025-000071,2033,652,4281,9,88,2025-10-03,2025-10-14,Open,Critical,PO-501249,,Portal
72,ORD-2023-000072,37,2575,84,6,172,2023-05-22,2023-06-01,In Transit,Standard,PO-245806,,Manual Upload
73,ORD-2024-000073,618,449,1313,1,66,2024-10-23,2024-10-26,Open,Expedite,PO-268669,,Manual Upload
74,ORD-2025-000074,1824,2132,3852,5,2,2025-07-26,2025-08-01,Open,Standard,,,EDI
75,ORD-2026-000075,2345,219,4959,7,283,2026-06-22,2026-07-02,Delivered,Standard,pending,,Portal
76,ORD-2025-000076,114,3389,239,11,80,2025-04-14,2025-04-29,Delivered,Standard,PO-620886,,EDI
77,ORD-2026-000077,1461,3075,3083,11,207,2026-04-16,5/1/2026,Open,Standard,PO-204958,,Manual Upload
78,ORD-2024-000078,1060,1476,2225,11,298,2024-09-17,2024-10-02,Delivered,Standard,,,Account Team
79,ORD-2026-000079,1544,362,3260,5,279,2026-04-01,2026/04/06,Delivered,Standard,PO-271969,,EDI
80,ORD-2026-000080,1784,2400,3768,4,66,2026-06-28,08/07/2026,Delivered,Critical,PO-509687,,Portal
81,ORD-2023-000081,1397,2289,2948,7,49,2023-04-26,2023-05-04,Delivered,Standard,PO-918603,,Manual Upload
82,ORD-2024-000082,874,1069,1834,6,216,2024-02-04,2024-02-18,Open,Standard,PO-126037,,Portal
83,ORD-2023-000083,1979,3616,4160,11,305,2023-03-21,2023-04-04,Cancelled,Standard,PO-962617,,EDI
84,ORD-2023-000084,1255,1464,2641,11,284,2023-06-14,2023-06-28,Delivered,Standard,PO-646637,,Account Team
85,ORD-2023-000085,368,432,796,7,166,2023-09-01,2023-09-14,Delivered,Expedite,PO-986991,,Portal
86,ORD-2024-000086,1578,3150,3320,4,101,2024-07-31,2024-08-15,Delivered,Expedite,PO-700132,,Portal
87,ORD-2023-000087,329,1207,706,10,95,2023-08-25,2023-09-02,Cancelled,Expedite,PO-918640,Customer request,EDI
88,ORD-2025-000088,1493,1793,3152,11,85,2025-11-25,2025-11-27,Delivered,Standard,PO-171269,,Manual Upload
89,ORD-2023-000089,1282,3613,2703,2,85,2023-12-24,2024-01-04,In Transit,standard ,PO-534038,,Account Team
90,ORD-2025-000090,2225,1022,4693,6,297,2025-11-29,2025/12/08,Open,Standard,PO-929258,,Portal
91,ORD-2025-000091,830,3604,1733,2,9,2025-12-02,2025-12-06,Delivered,Standard,PO-483206,,EDI
92,ORD-2026-000092,851,180,1776,3,274,2026-01-11,2026-01-17,Returned,Expedite,PO-596882,,Portal
93,ORD-2025-000093,1776,490,3750,5,27,2025-04-13,2025-04-23,Delivered,Standard,PO-610865,,Portal
94,ORD-2025-000094,269,2318,587,1,63,2025-07-25,8/6/2025,Delivered,Expedite,,,Manual Upload
95,ORD-2025-000095,335,1384,721,6,100,2025-02-13,2025-02-17,Delivered,Expedite,PO-504618,,Portal
96,ORD-2024-000096,574,1181,1224,8,101,2024-09-16,2024-09-25,Open,Standard,PO-875410,,Portal
97,ORD-2024-000097,1630,3147,3428,8,43,2024-12-29,2025-01-10,Delivered,Expedite,PO-163450,,Portal
98,ORD-2025-000098,30,1089,73,11,207,2025-06-01,2025-06-10,delivered ,Expedite,,,Portal
99,ORD-2025-000099,877,39,1843,6,86,2025-12-22,2025-12-25,Cancelled,Critical,PO-499177,,EDI
100,ORD-2023-000100,1642,1863,3459,5,95,2023-01-22,2023-02-07,Delivered,Standard,PO-741458,,Account Team
101,ORD-2025-000101,1528,176,3230,5,138,2025-09-19,2025-10-04,Delivered,Standard,PO-991797,,Manual Upload
102,ORD-2024-000102,1523,1750,3214,3,70,2024-08-22,2024-08-28,Cancelled,Standard,,Customer request,EDI
103,ORD-2023-000103,988,2494,2088,10,54,2023-05-30,2023-06-14,Delivered,Expedite,PO-708894,,EDI
104,ORD-2026-000104,818,1476,1703,2,170,2026-06-03,2026-06-14,Open,standard ,PO-424059,,Manual Upload
105,ORD-2024-000105,2101,2721,4421,4,302,2024-12-03,2024-12-19,Delivered,Standard,PO-188591,,Manual Upload
106,ORD-2024-000106,1849,77,3908,4,284,2024-01-28,2024-01-30,Delivered,standard ,,,Manual Upload
107,ORD-2025-000107,812,333,1689,5,116,2025-07-18,2025-07-24,Delivered,Standard,PO-206133,,Portal
108,ORD-2024-000108,1001,1971,2114,10,167,2024-09-07,2024-09-22,Delivered,standard ,PO-325396,,EDI
109,ORD-2024-000109,2218,2618,4675,2,217,2024-05-13,2024-05-15,Delivered,Standard,pending,,Manual Upload
110,ORD-2023-000110,728,1727,1528,1,194,2023-11-16,2023-11-28,In Transit,Standard,PO-893673,,EDI
111,ORD-2025-000111,39,252,90,11,9,2025-05-13,2025-05-22,Cancelled,Standard,PO-886311,Inventory unavailable,Manual Upload
112,ORD-2024-000112,1956,3597,4119,5,80,2024-09-24,2024-10-04,Delivered,Standard,PO-350109,,Portal
113,ORD-2024-000113,485,2393,1027,4,188,2024-06-05,2024-06-12,In Transit,Standard,PO-806232,,Account Team
114,ORD-2025-000114,2286,1540,4834,10,286,2025-06-08,23/06/2025,Delivered,Standard,PO-854236,,EDI
115,ORD-2025-000115,922,1435,1942,11,288,2025-01-22,2025-01-31,Delivered,Expedite,PO-742595,,Account Team
116,ORD-2023-000116,734,1007,1541,9,264,2023-09-27,2023-10-01,Delivered,Critical,PO-934583,,Account Team
117,ORD-2024-000117,713,2815,1495,4,95,2024-08-17,2024-08-30,In Transit,Standard,PO-427824,,EDI
118,ORD-2026-000118,535,2327,1134,4,271,2026-05-02,2026-05-09,Delivered,Standard,PO-936849,,Account Team
119,ORD-2024-000119,1629,97,3427,11,23,2024-09-22,2024-10-02,Delivered,Standard,PO-254340,,Manual Upload
120,ORD-2023-000120,55,3526,121,9,63,2023-12-12,2023-12-14,Delivered,Standard,PO-639233,,EDI
121,ORD-2024-000121,714,918,1497,2,283,2024-02-21,2024-02-25,Returned,Critical,PO-633589,,EDI
122,ORD-2023-000122,1236,1293,2607,8,21,2023-12-21,2023-12-25,Cancelled,Standard,,,Account Team
123,ORD-2023-000123,867,956,1815,2,227,2023-04-02,2023-04-18,Delivered,Standard,PO-415066,,Manual Upload
124,ORD-2024-000124,2117,3414,4449,5,53,2024-11-06,2024-11-19,In Transit,Expedite,,,Manual Upload
125,ORD-2025-000125,1040,1682,2188,6,188,2025-05-27,2025-06-12,In Transit,Standard,PO-174399,,EDI
126,ORD-2023-000126,1401,3054,2955,1,188,2023-12-11,2023-12-17,Open,Expedite,PO-681011,,EDI
127,ORD-2024-000127,614,2062,1305,4,186,2024-11-27,2024-11-30,Delivered,Expedite,PO-468558,,EDI
128,ORD-2024-000128,549,2602,1163,10,212,2024-04-21,2024-05-04,In Transit,Standard,PO-255337,,EDI
129,ORD-2026-000129,1515,1865,3192,1,275,2026-03-13, 2026-03-24 ,Delivered,Standard,PO-107233,,Manual Upload
130,ORD-2023-000130,1160,106,2442,9,2,2023-05-11,2023-05-13,Delivered,Standard,PO-711375,,Account Team
131,ORD-2025-000131,1559,471,3290,8,73,2025-05-28,2025-06-13,Delivered,Standard,pending,,Account Team
132,ORD-2025-000132,1992,31,4189,3,177,2025-11-13,2025-11-18,In Transit,Critical,PO-235785,,Manual Upload
133,ORD-2023-000133,595,2718,1265,2,73,2023-01-29,2023-02-12,Delivered,Expedite,PO-325529,,Manual Upload
134,ORD-2023-000134,243,47,538,11,188,2023-02-10,2023-02-17,Delivered,Standard,PO-101170,,EDI
135,ORD-2024-000135,1787,2184,3773,2,227,2024-10-20,2024-10-29,In Transit,Critical,PO-462816,,Portal
136,ORD-2023-000136,1363,558,2872,7,170,2023-12-21,2024-01-01,Open,Standard,,,Account Team
137,ORD-2025-000137,106,2994,226,9,279,2025-12-27,2026-01-09,Delivered,Standard,PO-941693,,Manual Upload
138,ORD-2023-000138,1928,539,4058,9,304,2023-08-01,2023-08-16,Delivered,Standard,PO-380980,,EDI
139,ORD-2025-000139,1752,3343,3706,11,207,2025-12-31,2026-01-09,Delivered,Standard,PO-186820,,EDI
140,ORD-2026-000140,1210,2887,2546,7,77,2026-03-08,3/20/2026,Delivered,Standard,PO-346528,,Manual Upload
141,ORD-2025-000141,75,585,164,9,101,2025-10-16,2025-10-24,Delivered,Standard,PO-171201,,Manual Upload
142,ORD-2023-000142,854,2583,1781,11,170,2023-07-20,2023-08-04,Delivered,standard ,,,EDI
143,ORD-2023-000143,940,83,1973,2,95,2023-03-25,2023/03/27,In Transit,Expedite,PO-476417,,Manual Upload
144,ORD-2026-000144,911,1231,1922,8,300,2026-05-28,2026-06-11,Delivered,Standard,PO-280744,,Account Team
145,ORD-2025-000145,2019,1290,4252,9,17,2025-01-05,2025-01-16,In Transit,Standard,PO-973793,,Manual Upload
146,ORD-2025-000146,897,3003,1886,10,200,2025-07-29,2025-08-03,Delivered,Standard,PO-103380,,Account Team
147,ORD-2026-000147,204,531,434,7,286,2026-06-10,2026-06-18,Delivered,Standard,PO-907813,,EDI
148,ORD-2024-000148,1289,156,2716,4,212,2024-10-12,2024-10-24,Cancelled,Standard,PO-244382,Inventory unavailable,EDI
149,ORD-2026-000149,414,641,887,10,286,2026-02-02,2026-02-09,delivered ,Expedite,PO-731825,,EDI
150,ORD-2026-000150,206,2562,443,5,276,2026-05-19,2026-06-04,Cancelled,standard ,PO-579922,,Account Team
151,ORD-2026-000151,1039,1115,2187,6,21,2026-06-24,2026-06-28,In Transit,Standard,PO-842884,,EDI
152,ORD-2026-000152,2394,1873,5075,8,171,2026-03-01,2026-03-03,Delivered,Standard,PO-944226,,Account Team
153,ORD-2025-000153,1973,1109,4151,8,166,2025-04-05,2025-04-18,Open,Expedite,PO-980168,,EDI
154,ORD-2023-000154,462,777,981,9,18,2023-07-08,2023-07-14,delivered ,Standard,,,EDI
155,ORD-2025-000155,185,291,394,10,18,2025-01-23,2025-02-04,Delivered,Standard,PO-902820,,Portal
156,ORD-2024-000156,1864,1931,3931,1,279,2024-05-25,2024-05-27,Delivered,Standard,PO-914341,,Account Team
157,ORD-2024-000157,2113,1556,4444,1,80,2024-10-29,2024-11-01,Delivered,Standard,PO-600721,,Manual Upload
158,ORD-2026-000158,1834,1131,3874,6,116,2026-02-03,2026-02-18,Open,Standard,PO-473466,,Manual Upload
159,ORD-2026-000159,1833,2565,3871,10,271,2026-05-03,2026-05-05,Cancelled,Expedite,PO-571201,Credit hold,EDI
160,ORD-2025-000160,1990,2705,4183,6,49,2025-06-11,2025/06/20,Delivered,Standard,PO-847587,,Portal
161,ORD-2024-000161,305,1530,660,4,111,2024-06-19, 2024-07-03 ,Open,Standard,PO-635432,,Portal
162,ORD-2026-000162,44,637,98,8,100,2026-04-25,2026-04-27,Delivered,Standard,pending,,Manual Upload
163,ORD-2026-000163,1381,2741,2915,3,235,2026-01-06,2026-01-11,Delivered,Expedite,,,EDI
164,ORD-2023-000164,1580,2946,3325,9,85,2023-04-27,2023-05-06,Delivered,Expedite,PO-161778,,Account Team
165,ORD-2023-000165,1877,2246,3960,3,21,2023-01-19,2023-01-25,Delivered,Standard,PO-793764,,Portal
166,ORD-2023-000166,705,1632,1477,3,235,2023-01-08,2023-01-18,Returned,Standard,PO-266852,,EDI
167,ORD-2023-000167,974,3274,2053,10,274,2023-12-08,2023-12-17,Delivered,Critical,PO-137951,,EDI
168,ORD-2025-000168,1608,2206,3385,7,284,2025-11-01,12/11/2025,Delivered,Expedite,PO-925070,,Account Team
169,ORD-2024-000169,879,692,1846,10,200,2024-10-01,2024-10-09,delivered ,Standard,PO-471710,,Portal
170,ORD-2024-000170,1154,508,2434,6,63,2024-10-03,2024-10-09,Delivered,Standard,PO-667122,,EDI
171,ORD-2023-000171,2022,3567,4260,1,283,2023-03-27,2023-03-30,Delivered,Standard,PO-232074,,Manual Upload
172,ORD-2025-000172,541,1683,1146,2,65,2025-06-02,2025-06-14,Delivered,Standard,PO-667487,,Account Team
173,ORD-2025-000173,36,2343,82,4,6,2025-02-04,2025-02-10,Open,Expedite,PO-123263,,Manual Upload
174,ORD-2025-000174,2196,1789,4627,6,85,2025-10-14,2025-10-18,Open,Critical,PO-559241,,EDI
175,ORD-2023-000175,1245,1194,2624,3,217,2023-02-25,2023-03-02,Open,Standard,pending,,Manual Upload
176,ORD-2026-000176,1998,1870,4202,8,17,2026-05-10,2026-05-14,Cancelled,Standard,PO-972636,Credit hold,Manual Upload
177,ORD-2024-000177,227,519,494,2,264,2024-06-09,2024-06-12,Delivered,Standard,PO-637423,,Portal
178,ORD-2023-000178,400,3284,860,3,70,2023-09-08,2023-09-11,In Transit,Expedite,PO-377939,,EDI
179,ORD-2023-000179,933,1610,1963,9,132,2023-05-11,2023-05-24,Delivered,Expedite,PO-447801,,Portal
180,ORD-2026-000180,1711,1196,3611,7,176,2026-06-18,2026-07-02,Delivered,Expedite,PO-392368,,Portal
181,ORD-2023-000181,963,602,2027,9,288,2023-05-18,01/06/2023,In Transit,Standard,PO-600336,,EDI
182,ORD-2023-000182,489,1908,1034,9,27,2023-12-16,2023-12-30,Delivered,standard ,PO-997089,,Account Team
183,ORD-2024-000183,2406,1333,5101,8,216,2024-12-20,2024-12-28,Returned,standard ,PO-699426,,Account Team
184,ORD-2026-000184,1048,3410,2204,1,304,2026-06-18,2026-06-29,Cancelled,Standard,PO-356394,Customer request,Portal
185,ORD-2024-000185,824,1585,1718,11,200,2024-02-02,2024-02-05,Delivered,Standard,PO-221762,,Account Team
186,ORD-2024-000186,1473,440,3114,7,80,2024-05-03,2024/05/06,Open,Standard,PO-743139,,Portal
187,ORD-2024-000187,2116,1641,4448,3,232,2024-04-13,2024-04-17,Delivered,Expedite,PO-936277,,Account Team
188,ORD-2023-000188,1899,2460,4000,3,167,2023-03-03,2023-03-08,Delivered,Standard,PO-137217,,Manual Upload
189,ORD-2023-000189,1862,3167,3928,6,66,2023-03-19,2023-03-22,Delivered,Standard,PO-867776,,Manual Upload
190,ORD-2023-000190,540,1603,1145,9,49,2023-02-07,2023-02-12,Delivered,standard ,PO-985753,,Manual Upload
191,ORD-2024-000191,1844,3688,3898,7,88,2024-07-11,17/07/2024,Delivered,Standard,PO-947851,,EDI
192,ORD-2023-000192,1966,985,4140,9,23,2023-08-22,2023-09-03,Cancelled,Standard,PO-927093,Credit hold,Manual Upload
193,ORD-2025-000193,1225,2576,2579,2,188,2025-06-13,2025-06-29,Delivered,standard ,PO-348583,,Manual Upload
194,ORD-2023-000194,692,2649,1454,1,101,2023-10-31,2023-11-14,Delivered,Standard,PO-797617,,Portal
195,ORD-2025-000195,1528,1892,3230,5,9,2025-10-11,2025-10-14,Delivered,Critical,PO-809610,,Account Team
196,ORD-2023-000196,944,3419,1981,11,63,2023-08-29,2023-09-08,Delivered,standard ,PO-886065,,Manual Upload
197,ORD-2025-000197,1971,782,4148,2,194,2025-01-12,2025-01-25,Delivered,Standard,PO-921999,,Account Team
198,ORD-2023-000198,1009,1362,2131,2,132,2023-03-28,2023-04-10,Open,Standard,,,Manual Upload
199,ORD-2026-000199,1999,1486,4203,10,138,2026-01-08,2026-01-18,Delivered,Standard,PO-871790,,EDI
200,ORD-2026-000200,835,1111,1745,2,86,2026-05-15,2026-05-27,Open,Standard,PO-620012,,EDI
201,ORD-2023-000201,1866,1635,3933,2,288,2023-03-26,2023/04/07,Open,standard ,,,Manual Upload
202,ORD-2023-000202,1401,1669,2955,1,66,2023-02-14, 2023-02-28 ,In Transit,standard ,PO-149286,,Manual Upload
203,ORD-2025-000203,1299,3152,2735,3,221,2025-01-08,2025-01-19,Delivered,Standard,PO-944548,,Account Team
204,ORD-2023-000204,1470,1423,3108,7,297,2023-04-13,2023-04-23,Delivered,Standard,,,EDI
205,ORD-2024-000205,1592,2819,3353,6,297,2024-10-28,2024-11-12,Delivered,Expedite,pending,,Portal
206,ORD-2026-000206,1704,3391,3595,3,53,2026-06-09,2026-06-18,Delivered,Standard,,,Portal
207,ORD-2025-000207,672,650,1412,6,172,2025-05-02,2025-05-15,Delivered,Standard,PO-498740,,Manual Upload
208,ORD-2024-000208,558,1435,1187,8,138,2024-08-10,2024-08-12,Delivered,Standard,PO-289009,,Manual Upload
209,ORD-2025-000209,309,2749,672,8,29,2025-01-12,2025-01-17,Delivered,Standard,PO-378118,,Manual Upload
210,ORD-2025-000210,2235,2431,4719,5,6,2025-06-29,7/6/2025,Open,Standard,PO-443879,,Portal
211,ORD-2026-000211,2086,134,4387,11,279,2026-03-27, 2026-03-31 ,Delivered,Standard,PO-269511,,Manual Upload
212,ORD-2023-000212,2110,2521,4439,10,38,2023-05-02,2023-05-17,In Transit,Standard,PO-777332,,Account Team
213,ORD-2023-000213,210,1547,452,3,300,2023-11-11,2023-11-16,Delivered,Standard,PO-753944,,Portal
214,ORD-2025-000214,19,2698,42,4,217,2025-01-25,2025-02-06,Delivered,Expedite,PO-117528,,EDI
215,ORD-2024-000215,1648,460,3474,3,53,2024-07-03,11/07/2024,Delivered,Standard,PO-605364,,Account Team
216,ORD-2023-000216,1900,1039,4001,10,264,2023-09-04,2023-09-12,Returned,Standard,pending,,Account Team
217,ORD-2024-000217,1596,3377,3361,6,297,2024-08-17,2024-08-20,Delivered,Standard,PO-511866,,Account Team
218,ORD-2025-000218,1278,1240,2693,1,124,2025-08-23,2025-09-01,Delivered,Standard,PO-516977,,EDI
219,ORD-2025-000219,2296,2353,4850,10,283,2025-12-04,2025-12-17,Delivered,Standard,PO-636415,,Manual Upload
220,ORD-2025-000220,2457,2016,5214,10,279,2025-09-13, 2025-09-28 ,Delivered,Expedite,PO-156416,,Account Team
221,ORD-2024-000221,1850,1036,3909,5,216,2024-02-05,2024-02-12,Delivered,Standard,PO-889268,,Portal
222,ORD-2023-000222,606,2392,1286,6,232,2023-09-08,2023-09-22,In Transit,Expedite,,,Portal
223,ORD-2026-000223,84,3178,177,5,221,2026-02-21,2026-03-06,Delivered,Standard,pending,,Account Team
224,ORD-2023-000224,1088,3513,2282,7,277,2023-06-13,2023-06-21,Delivered,Expedite,PO-427888,,Portal
225,ORD-2024-000225,2194,2803,4623,10,18,2024-09-17,2024-09-19,In Transit,Expedite,PO-925672,,EDI
226,ORD-2025-000226,995,2437,2102,6,298,2025-02-03,2025-02-13,Returned,Standard,PO-280165,,Account Team
227,ORD-2024-000227,719,2417,1507,7,217,2024-12-28,2025-01-07,In Transit,Standard,PO-711101,,Manual Upload
228,ORD-2025-000228,807,517,1680,9,43,2025-12-18,2025-12-24,Delivered,Standard,PO-315724,,Account Team
229,ORD-2024-000229,1952,1242,4111,1,132,2024-11-22,12/5/2024,In Transit,Standard,PO-512408,,Manual Upload
230,ORD-2025-000230,704,242,1475,7,47,2025-05-18,2025-05-25,Open,Standard,PO-519334,,Account Team
231,ORD-2023-000231,1288,3024,2715,3,77,2023-08-20,8/25/2023,Delivered,Standard,PO-994981,,Account Team
232,ORD-2023-000232,2423,948,5139,2,277,2023-11-21,2023-12-02,In Transit,Standard,PO-362297,,Account Team
233,ORD-2023-000233,547,3089,1157,6,111,2023-01-13,2023-01-20,Open,Expedite,PO-123127,,Account Team
234,ORD-2023-000234,1395,3651,2945,7,235,2023-12-28,1/1/2024,Delivered,Expedite,,,Portal
235,ORD-2024-000235,274,1927,597,7,275,2024-10-24,2024-10-27,Delivered,Standard,PO-102169,,EDI
