service_log_id,shipment_id,crate_model_id,service_region_id,technician_employee_id,service_date,service_type,expected_units,inspected_units,passed_units,scrapped_units,service_cost,inspection_notes
27,9420,109,8,283,2025-11-10,Repair,10,2,2,0,84.79,RFID unreadable
28,22086,72,11,98,2024-05-24,Wash & Inspect,24,24,24,0,40.44,
29,23416,39,3,274,2023-10-24,wash & inspect,32,32,32,0,61.49,RFID unreadable
30,19498,109,7,232,2024-03-17,Wash & Inspect,24,24,24,0,97.87,Seal wear
31,13416,57,11,98,2026-06-19,Wash & Inspect,60,60,58,2,64.85,Odor detected
32,13134,6,1,274,2026-01-16,Wash & Inspect,6,6,6,0,11.31,Seal wear
33,4044,83,7,286,2025-06-07,Cycle Count,8,9,9,0,84.06,Count adjusted by hub
34,20016,120,11,88,2025-05-01,wash & inspect,32,32,32,0,98.00,RFID unreadable
35,6515,57,4,98,2025-09-11,Wash & Inspect,24,24,24,0,85.73,Odor detected
36,21029,57,1,170,2025-04-17,Wash & Inspect,60,60,60,0,40.78,
37,21905,58,9,141,2024-06-11,Wash & Inspect,32,28,23,5,152.43,Odor detected
38,1322,95,3,100,2025-11-21,Wash & Inspect,12,4,2,2,108.13,Seal wear
39,1968,53,9,6,2025-03-12,Wash & Inspect,80,80,77,3,81.53, 
40,8551,25,1,277,2024-06-29,wash & inspect,4,4,4,0,61.01,Odor detected
41,16664,99,1,227,2025-03-03,wash & inspect,6,6,3,3,156.84,Count adjusted by hub
42,8653,50,4,2,2023-02-13,Repair,40,36,36,0,70.51,awaiting QA
43,25644,110,6,232,2025-09-01,wash & inspect,8,8,8,0,25.00,RFID unreadable
44,11183,45,5,98,2023-12-19,Wash & Inspect,4,4,4,0,46.16,
45,3912,67,2,124,2026-04-15,Decommission,24,24,23,0,12.23,Count adjusted by hub
46,2757,69,5,88,2024-08-06,Wash & Inspect,4,4,0,4,156.49,
47,12350,110,1,217,2025-12-31,Repair,4,4,4,0,49.94,Count adjusted by hub
48,22963,83,9,277,2024-05-14,Wash & Inspect,20,20,20,0,64.68,Count adjusted by hub
49,13250,50,2,54,2026-02-06,Wash & Inspect,10,10,10,0,72.26, 
50,19971,100,3,283,2024-04-13,Wash & Inspect,40,39,39,0,22.38,
51,12647,49,10,141,2025-04-21,Cycle Count,20,18,15,3,88.62, 
52,9202,27,4,141,2025-08-09,wash & inspect,12,12,12,0,90.43,Count adjusted by hub
53,15062,89,8,286,2026-02-03,Wash & Inspect,10,10,10,0,16.45,
54,25625,67,1,170,2024-10-08,Repair,60,60,56,4,155.34,
55,19856,15,5,54,2023-03-15,Wash & Inspect,10,10,10,0,19.64,Odor detected
56,27085,22,1,98,2025-06-07,Repair,10,10,10,0,76.74,Seal wear
57,24472,97,2,157,2025-01-11,Cycle Count,4,4,4,0,12.10,Count adjusted by hub
58,6380,23,10,286,2026-04-15,Wash & Inspect,4,4,0,4,109.66,
59,12154,78,11,274,2025-01-26,Repair,60,60,60,0,42.00,
60,7673,92,7,277,2023-07-17,Cycle Count,10,10,10,0,70.05,
61,2430,47,3,54,2026-06-10,Repair,32,32,32,0,41.60,
62,941,52,10,124,2023-11-14,Repair,40,40,40,0,93.69,
63,6620,90,4,54,2024-03-19,Wash & Inspect,24,23,23,0,32.60,awaiting QA
64,14189,68,9,88,2024-06-20,Wash & Inspect,10,10,10,0,62.45,Count adjusted by hub
65,17809,28,9,286,2025-09-23,Repair,16,16,16,0,69.68,awaiting QA
66,5961,2,11,217,2025-12-27,Cycle Count,20,20,20,0,29.09,awaiting QA
67,22833,41,11,98,2026-04-19,Wash & Inspect,16,16,15,0,25.21,
68,17451,117,7,6,2025-02-07,Decommission,4,4,3,0,19.52,awaiting QA
69,5454,116,3,73,2025-08-10,Decommission,32,32,29,3,148.13,Odor detected
70,12637,107,4,98,2023-12-01,Wash & Inspect,80,82,82,0,13.89,Seal wear
71,9573,89,4,227,2025-06-06,Wash & Inspect,32,32,31,1,60.71,RFID unreadable
72,7886,68,2,275,2024-11-06,wash & inspect,40,40,40,0,93.26,
73,15569,6,9,232,2025-12-07,Wash & Inspect,60,59,59,0,49.34,RFID unreadable
74,18751,105,6,53,2024-07-17,Wash & Inspect,80,80,80,0,64.56,RFID unreadable
75,965,41,5,132,2025-06-05,Wash & Inspect,60,60,60,0,10.40,
76,9959,99,9,275,2023-04-19,Wash & Inspect,4,4,4,0,91.14,
77,16496,38,3,277,2024-11-17,Repair,4,4,1,3,150.45,
78,13877,79,8,167,2025-02-22,wash & inspect,6,0,0,0,52.89, 
79,18040,18,2,86,2024-07-26,Repair,20,20,20,0,67.83,Odor detected
80,5147,50,6,2,2023-11-01,Decommission,20,20,17,3,163.11, 
81,18381,68,1,217,2023-04-18,Wash & Inspect,10,10,10,0,72.31,
82,10624,9,9,274,2025-08-24,Cycle Count,60,60,58,2,110.18,Odor detected
83,24967,92,9,88,2026-03-28,Wash & Inspect,6,6,6,0,75.48, 
84,358,93,10,53,2023-07-05,Wash & Inspect,24,24,24,0,34.52,Count adjusted by hub
85,2377,99,10,73,2026-04-24,Wash & Inspect,24,24,20,4,121.90, 
86,12696,111,11,283,2025-11-16,Decommission,80,78,78,0,29.55,Odor detected
87,7111,46,2,98,2025-07-01,wash & inspect,40,40,40,0,40.47,Odor detected
88,3356,119,4,54,2026-03-25,Wash & Inspect,32,32,32,0,24.12,RFID unreadable
89,6508,78,1,283,2023-03-26,wash & inspect,16,16,16,0,66.02,Odor detected
90,1766,76,3,275,2025-07-15,Wash & Inspect,60,60,60,0,41.24,awaiting QA
91,26841,118,9,88,2025-09-04,Wash & Inspect,8,8,8,0,41.97,Odor detected
92,14244,98,3,286,2025-12-16,Repair,12,12,12,0,82.93,
93,4943,109,7,157,2024-12-12,wash & inspect,60,60,60,0,8.14,Seal wear
94,14724,3,6,217,2023-06-09,Wash & Inspect,24,20,20,0,93.93, 
95,8287,47,11,88,2023-01-11,Wash & Inspect,60,60,60,0,93.89,Odor detected
96,25143,9,9,54,2025-03-20,Decommission,24,28,28,0,79.43, 
97,19987,9,5,100,2026-01-25,Wash & Inspect,24,24,24,0,61.12,Seal wear
98,12228,67,10,274,2025-01-02,wash & inspect,10,10,6,4,181.63,awaiting QA
99,4542,77,4,98,2026-02-11,Cycle Count,16,16,15,0,29.46,Odor detected
100,14289,47,7,227,2023-04-05,Repair,32,32,29,3,137.11, 
101,65,77,1,27,2025-07-07,Wash & Inspect,8,8,7,0,47.10,Count adjusted by hub
102,21393,49,3,38,2026-03-19,Cycle Count,16,12,8,4,174.91,RFID unreadable
103,19501,28,11,38,2025-08-05,Repair,6,6,6,0,24.58,Odor detected
104,7713,27,7,217,2023-06-25,Wash & Inspect,6,6,6,0,80.76,Odor detected
105,24082,53,6,275,2024-11-10,wash & inspect,40,48,48,0,67.50, 
106,13659,40,5,124,2025-07-10,Wash & Inspect,40,44,42,2,92.94,awaiting QA
107,26700,96,4,38,2024-08-10,Repair,6,14,14,0,97.43,RFID unreadable
108,18243,99,3,53,2023-04-04,wash & inspect,20,20,20,0,10.02,Count adjusted by hub
109,10761,30,4,283,2023-05-03,Repair,8,8,8,0,41.47,awaiting QA
110,132,30,11,277,2025-06-05,Repair,32,31,31,0,70.30,
111,8946,85,2,274,2024-10-20,wash & inspect,12,12,12,0,92.07,Seal wear
112,23491,77,6,286,2026-01-17,Wash & Inspect,24,24,23,0,65.55,Count adjusted by hub
113,16471,31,9,274,2024-12-26,Repair,16,17,17,0,63.27, 
114,2390,83,6,170,2024-11-18,Decommission,12,12,11,0,70.49,awaiting QA
115,357,7,10,98,2023-07-02,Wash & Inspect,6,6,6,0,16.36,
116,26061,67,5,86,2023-06-08,Wash & Inspect,32,32,32,0,17.96,awaiting QA
117,19973,20,8,6,2024-12-07,Wash & Inspect,32,32,32,0,29.80,
118,8944,29,5,217,2026-03-23,Wash & Inspect,10,10,10,0,51.05,Count adjusted by hub
119,24843,64,4,54,2026-01-20,Wash & Inspect,24,24,24,0,62.44,
120,14392,58,10,277,2023-09-12,Wash & Inspect,10,10,10,0,34.89,RFID unreadable
121,17289,53,3,6,2025-07-19,Wash & Inspect,10,9,9,0,63.84,awaiting QA
122,11091,28,2,27,2024-02-02,Repair,10,9,9,0,41.23,Odor detected
123,26096,11,2,167,2023-05-24,wash & inspect,20,20,20,0,58.52,Count adjusted by hub
124,4278,113,10,274,2026-05-27,Wash & Inspect,16,16,16,0,45.77,awaiting QA
125,25145,5,11,38,2025-11-19,Repair,80,72,72,0,91.24,awaiting QA
126,15153,120,2,88,2023-03-01,Cycle Count,6,10,8,2,79.11,Count adjusted by hub
127,476,5,1,53,2025-08-29,Wash & Inspect,20,21,21,0,8.16,Odor detected
128,19470,21,10,232,2024-09-12,Wash & Inspect,8,16,16,0,86.92,Count adjusted by hub
129,15043,85,6,227,2024-07-23,Repair,24,24,24,0,32.20,Seal wear
130,14938,90,5,27,2024-06-02,wash & inspect,6,6,2,4,174.22,
131,8238,93,8,132,2025-07-28,wash & inspect,12,20,20,0,88.43,awaiting QA
132,12540,9,9,141,2025-09-25,Wash & Inspect,60,58,58,0,67.51,
133,9186,16,2,53,2024-10-06,Cycle Count,32,32,32,0,31.75,RFID unreadable
134,6545,96,9,277,2023-08-08,Wash & Inspect,16,16,16,0,18.41,Odor detected
135,23715,98,10,100,2025-01-02,Wash & Inspect,40,40,40,0,14.50,
136,10732,83,3,6,2025-12-02,Wash & Inspect,24,24,24,0,85.87,
137,19875,23,11,124,2026-02-04,wash & inspect,80,80,80,0,78.04,RFID unreadable
138,9510,9,3,217,2023-11-27,wash & inspect,40,38,38,0,91.46,Seal wear
139,22299,29,7,232,2023-03-27,Wash & Inspect,6,6,6,0,84.14,awaiting QA
140,18448,36,9,274,2025-04-09,Wash & Inspect,12,12,11,0,33.08,
141,25027,36,1,141,2023-10-16,Cycle Count,10,10,10,0,32.99,Odor detected
142,8231,106,1,53,2024-04-01,Repair,32,32,32,0,37.71, 
143,7160,42,11,73,2024-02-04,Cycle Count,32,32,31,0,26.85,
144,6221,15,9,283,2026-04-23,Wash & Inspect,80,80,80,0,62.83,Odor detected
145,5025,13,9,157,2024-05-13,Repair,32,32,27,5,182.75,awaiting QA
146,16524,105,8,88,2024-07-31,wash & inspect,32,36,35,1,65.87,Count adjusted by hub
147,27,88,3,88,2025-05-10,wash & inspect,16,16,11,4,137.65,
148,7632,120,2,170,2024-11-06,Repair,24,24,18,5,216.40,Count adjusted by hub
149,24471,75,8,6,2025-01-21,Repair,32,32,32,0,96.71,awaiting QA
150,4642,56,10,53,2024-10-05,Wash & Inspect,10,10,10,0,65.67,Odor detected
151,699,41,4,6,2023-09-25,Wash & Inspect,12,12,12,0,40.49,
152,22734,81,6,141,2025-04-17,Cycle Count,24,24,24,0,40.22,awaiting QA
153,16247,34,11,227,2025-01-10,Cycle Count,40,40,40,0,29.43,
154,6923,112,10,217,2026-06-20,Wash & Inspect,60,60,60,0,57.46,
155,15149,48,6,2,2024-03-06,Wash & Inspect,80,80,80,0,33.48,awaiting QA
156,19459,7,1,167,2023-12-02,Wash & Inspect,16,16,16,0,23.31,
157,698,40,5,274,2024-05-08,Wash & Inspect,10,10,10,0,25.16,Odor detected
158,10745,92,11,27,2024-12-10,Repair,12,12,12,0,79.80,Seal wear
159,13282,88,8,132,2023-02-26,Wash & Inspect,8,8,8,0,39.80,
160,23989,28,7,27,2025-12-31,Repair,20,20,20,0,61.79,
161,21419,42,4,286,2024-05-24,Repair,24,24,24,0,86.26,RFID unreadable
162,23639,19,4,54,2026-01-09,Wash & Inspect,40,42,41,0,13.12, 
163,15663,77,7,274,2025-06-17,Cycle Count,4,4,4,0,61.26,
164,16951,118,7,54,2025-03-01,Wash & Inspect,16,16,15,0,95.95,
165,20338,9,7,286,2026-03-15,Repair,24,24,24,0,14.08,Odor detected
166,4622,77,5,98,2023-11-21,Wash & Inspect,24,24,24,0,47.35,
167,10443,62,4,275,2025-04-01,Repair,40,44,44,0,40.45,Seal wear
168,26716,113,10,73,2025-12-10,Cycle Count,12,12,12,0,83.07, 
169,2609,8,7,283,2024-11-24,Wash & Inspect,16,17,17,0,72.84,Count adjusted by hub
170,8377,85,11,283,2026-07-05,Wash & Inspect,4,4,4,0,22.93,
171,4521,73,3,53,2026-05-07,Wash & Inspect,4,4,4,0,81.66,
172,19111,95,10,73,2025-05-15,Decommission,20,20,20,0,73.51,Seal wear
173,14789,60,1,73,2025-12-02,Repair,4,4,2,2,78.66,Odor detected
174,16671,63,8,98,2024-04-19,Wash & Inspect,8,8,8,0,8.24,awaiting QA
175,10878,56,6,157,2024-02-15,Wash & Inspect,12,12,12,0,55.80,Seal wear
176,24264,34,3,124,2024-05-15,wash & inspect,24,23,23,0,43.07,Odor detected
177,24562,110,4,217,2023-09-07,Repair,24,24,24,0,13.36,awaiting QA
178,5719,107,10,132,2026-02-16,Wash & Inspect,12,16,16,0,82.02,awaiting QA
179,12985,111,8,53,2025-10-03,Wash & Inspect,60,60,60,0,91.75,Count adjusted by hub
180,15363,32,3,217,2024-01-13,Cycle Count,16,16,16,0,71.27,Odor detected
181,22235,37,2,217,2025-08-16,Wash & Inspect,20,21,21,0,11.43,Count adjusted by hub
182,2180,98,7,86,2025-02-07,Wash & Inspect,10,10,5,4,117.78,RFID unreadable
183,17654,66,11,170,2024-10-08,Wash & Inspect,8,8,8,0,22.74,awaiting QA
184,19152,60,4,98,2026-05-12,wash & inspect,16,16,16,0,82.56,Count adjusted by hub
185,13782,111,6,132,2023-04-19,Decommission,10,10,9,0,29.95,RFID unreadable
186,10415,77,4,86,2026-03-23,Wash & Inspect,20,20,20,0,51.31,
187,87,93,7,38,2026-07-04,Wash & Inspect,4,5,5,0,76.70, 
188,13546,63,2,6,2025-05-26,Cycle Count,40,40,39,0,79.81,
189,26044,115,1,86,2025-07-04,Wash & Inspect,16,16,15,0,96.38,RFID unreadable
190,23010,65,2,2,2025-12-08,Wash & Inspect,12,13,8,5,202.53,Seal wear
191,14426,57,9,54,2024-07-09,wash & inspect,8,10,10,0,42.71,Count adjusted by hub
192,9124,45,4,141,2025-07-27,Wash & Inspect,6,5,5,0,72.03, 
193,2075,101,10,167,2024-03-02,Wash & Inspect,4,4,4,0,60.17,Odor detected
194,6046,77,5,6,2024-03-26,Wash & Inspect,40,40,40,0,9.12,
195,20048,81,5,73,2024-06-13,Wash & Inspect,60,60,60,0,64.25,awaiting QA
196,269,41,4,2,2023-06-14,Cycle Count,24,24,24,0,78.44,
197,24280,72,11,124,2024-08-19,Wash & Inspect,4,12,11,0,30.80,Odor detected
198,24755,86,4,53,2025-01-19,Repair,32,32,32,0,36.86,Seal wear
199,325,86,7,274,2024-04-05,Wash & Inspect,40,40,34,5,164.79,Odor detected
200,20055,33,3,54,2024-10-28,Wash & Inspect,6,10,10,0,68.56,Odor detected
201,874,73,3,88,2024-07-01,Wash & Inspect,40,40,40,0,95.58,
202,515,110,7,275,2025-12-21,Wash & Inspect,8,9,5,4,152.97,
203,11853,41,4,100,2023-06-05,Repair,32,30,30,0,77.47, 
204,10114,59,6,275,2025-08-11,Decommission,8,6,6,0,76.50, 
205,22054,35,4,283,2024-05-14,Wash & Inspect,10,6,3,3,124.74,RFID unreadable
206,27099,46,8,275,2024-11-20,Wash & Inspect,10,10,10,0,60.11,
207,27088,83,6,217,2024-04-22,Wash & Inspect,10,11,11,0,77.01,Count adjusted by hub
208,17184,24,9,2,2025-05-04,wash & inspect,16,16,16,0,97.20,RFID unreadable
209,20779,34,11,54,2024-11-22,Decommission,10,10,10,0,17.21,awaiting QA
210,768,49,2,167,2026-05-09,Wash & Inspect,20,20,19,1,118.34,Seal wear
211,22022,76,3,86,2023-11-12,Wash & Inspect,8,8,8,0,74.04,awaiting QA
212,8949,120,4,38,2025-10-23,Repair,12,12,9,3,93.52,awaiting QA
213,407,21,10,86,2023-03-14,Repair,40,40,40,0,59.29,Seal wear
214,12758,87,2,27,2025-09-23,Decommission,60,60,56,4,149.15,
215,9867,99,5,53,2023-07-25,Wash & Inspect,32,32,29,3,128.50, 
216,11789,71,7,100,2025-08-20,Wash & Inspect,4,4,3,0,24.56,Count adjusted by hub
217,10898,94,6,227,2023-07-14,Decommission,20,19,19,0,61.60,RFID unreadable
218,4751,46,10,86,2025-05-10,Wash & Inspect,32,40,40,0,35.22,
219,4612,49,7,124,2026-05-03,Wash & Inspect,8,10,9,0,25.76,Seal wear
220,23126,89,5,2,2023-11-16,Cycle Count,20,20,20,0,81.72,
221,2800,116,7,86,2024-06-30,Repair,6,4,0,4,135.37,Seal wear
222,12619,118,3,53,2023-02-03,wash & inspect,60,61,61,0,65.40,
223,5731,69,11,132,2026-03-06,Wash & Inspect,16,16,15,0,16.92,RFID unreadable
224,2414,68,5,53,2025-12-02,Wash & Inspect,60,60,60,0,54.89,RFID unreadable
225,22576,23,9,274,2025-01-16,Wash & Inspect,16,16,12,4,182.52, 
226,13765,79,6,86,2023-02-15,Wash & Inspect,4,4,4,0,80.52,Odor detected
227,5829,106,8,54,2026-01-04,wash & inspect,24,26,26,0,44.09,
228,18828,29,3,232,2024-08-16,Wash & Inspect,4,5,4,0,69.21,RFID unreadable
229,4508,49,1,283,2024-11-22,wash & inspect,32,32,32,0,13.67,Count adjusted by hub
230,27288,98,2,141,2025-09-14,Wash & Inspect,20,21,21,0,18.30,
231,16928,82,9,132,2024-05-21,Wash & Inspect,10,10,10,0,51.68,
232,2456,15,2,157,2025-04-06,Wash & Inspect,32,32,32,0,86.27, 
233,10973,64,9,274,2024-11-25,Wash & Inspect,4,4,4,0,57.58,
234,11235,82,6,232,2024-10-12,Wash & Inspect,4,4,3,0,84.67,
235,11275,65,11,100,2025-05-31,Wash & Inspect,16,20,20,0,56.20,Seal wear
236,5707,40,9,88,2025-04-11,Wash & Inspect,32,32,29,3,99.46,
237,7758,6,1,141,2023-07-26,wash & inspect,24,24,24,0,50.51,Odor detected
238,9504,36,8,167,2025-08-26,Wash & Inspect,6,2,2,0,32.99,
239,13827,90,8,88,2024-05-08,Decommission,10,10,10,0,26.63,
240,2099,3,3,53,2025-04-06,Wash & Inspect,6,6,6,0,75.41, 
241,10244,112,1,73,2025-12-23,Cycle Count,4,4,3,0,27.67,
242,25250,45,6,6,2026-06-11,Repair,10,2,2,0,35.30,Seal wear
243,21632,100,1,88,2025-07-08,wash & inspect,24,24,24,0,95.97,
244,14373,90,10,2,2024-04-21,Wash & Inspect,16,16,16,0,22.32,
245,25023,91,3,232,2023-07-28,Wash & Inspect,40,40,40,0,94.45,
246,3500,19,10,53,2023-06-11,Wash & Inspect,80,88,85,3,95.63,Seal wear
247,26893,116,3,6,2024-01-15,Repair,16,16,16,0,37.50,Odor detected
248,26074,109,6,38,2025-12-12,wash & inspect,4,4,4,0,22.34,Seal wear
249,14366,76,5,86,2024-03-13,Wash & Inspect,16,16,16,0,33.72, 
250,8142,8,2,88,2024-04-27,Wash & Inspect,6,5,5,0,25.66,
251,14767,118,3,27,2024-03-06,Wash & Inspect,16,16,15,0,93.25,Seal wear
252,5279,42,8,170,2023-11-01,wash & inspect,16,16,16,0,66.47, 
253,26184,61,4,2,2026-02-01,Wash & Inspect,4,4,4,0,54.11,Seal wear
254,22932,47,3,6,2024-05-26,Decommission,32,31,26,5,209.52, 
255,17762,54,4,54,2025-12-15,Cycle Count,32,32,30,2,121.84,
256,11380,6,10,132,2025-06-09,Wash & Inspect,20,20,18,2,77.07,
257,8905,114,4,141,2025-03-04,Wash & Inspect,12,4,3,0,75.54,Seal wear
258,20678,35,11,286,2026-04-23,Repair,24,24,24,0,89.74,RFID unreadable
259,9226,88,8,227,2025-05-10,Wash & Inspect,40,40,40,0,39.35,awaiting QA
260,23746,29,3,88,2024-04-05,Wash & Inspect,20,20,20,0,83.24,
261,24079,105,4,86,2025-03-19,Wash & Inspect,32,32,32,0,97.56,
262,9247,17,7,167,2023-01-17,Wash & Inspect,6,6,6,0,41.76,awaiting QA
263,7006,9,9,286,2024-04-25,Wash & Inspect,12,12,12,0,48.48,
264,9560,61,1,217,2023-09-28,Cycle Count,20,20,20,0,24.29,awaiting QA
265,14718,43,11,100,2023-12-28,Wash & Inspect,4,4,4,0,89.41,Seal wear
266,21332,77,3,38,2024-07-12,wash & inspect,40,40,40,0,29.59,Count adjusted by hub
267,10866,1,3,6,2023-04-08,Wash & Inspect,4,4,1,3,108.46,Count adjusted by hub
268,24129,59,10,54,2023-12-13,Cycle Count,6,5,5,0,61.28,
269,13728,12,4,86,2024-11-26,Wash & Inspect,8,8,8,0,59.09,
270,26350,84,1,232,2024-11-27,Wash & Inspect,40,40,40,0,91.30,RFID unreadable
271,20339,7,6,283,2026-06-24,wash & inspect,40,48,45,3,116.28,RFID unreadable
272,13561,93,5,86,2026-03-23,Wash & Inspect,8,9,9,0,44.79,
273,25031,68,9,217,2024-07-12,Decommission,24,24,20,4,140.62,awaiting QA
274,24414,11,11,6,2023-09-20,Wash & Inspect,80,81,81,0,14.74,Count adjusted by hub
275,190,19,8,53,2025-01-01,Cycle Count,80,80,76,4,156.09,RFID unreadable
276,26784,32,6,275,2025-02-02,Decommission,8,9,9,0,48.64,Odor detected
277,9060,29,9,86,2024-11-02,Wash & Inspect,24,24,24,0,77.80,awaiting QA
278,5323,1,6,54,2023-01-26,wash & inspect,24,24,24,0,93.88,
279,23327,79,3,98,2026-05-21,Wash & Inspect,8,7,7,0,24.88,RFID unreadable
280,14008,58,3,53,2026-03-12,Wash & Inspect,24,24,24,0,23.98,
281,6965,69,9,27,2025-06-04,Repair,4,4,3,0,86.50, 
282,12677,8,11,53,2023-10-20,Wash & Inspect,8,8,8,0,97.52,
283,11950,119,1,141,2024-09-29,Decommission,60,60,60,0,69.06,awaiting QA
284,19471,34,6,275,2025-03-19,wash & inspect,6,6,6,0,90.28,
285,25650,82,7,277,2024-09-20,Wash & Inspect,32,30,30,0,46.96,Seal wear
286,7866,30,5,170,2024-06-24,Wash & Inspect,80,80,79,0,41.60,
287,17350,66,8,6,2023-05-22,Wash & Inspect,16,16,16,0,71.87,Seal wear
288,6585,86,7,73,2026-01-12,wash & inspect,6,6,2,3,103.07,RFID unreadable
289,8385,55,5,217,2024-02-13,Decommission,4,4,4,0,71.05, 
290,24174,28,8,98,2024-07-07,Wash & Inspect,16,16,14,2,62.54,Odor detected
291,14318,38,2,6,2025-04-05,Repair,4,4,4,0,25.49,
292,14802,36,10,170,2025-06-12,Wash & Inspect,16,16,16,0,45.21,Count adjusted by hub
293,391,45,2,53,2024-09-22,wash & inspect,24,28,28,0,15.78,
294,16918,120,8,286,2023-09-12,Wash & Inspect,8,4,4,0,62.15,Odor detected
295,19469,93,1,232,2024-03-11,Wash & Inspect,24,24,24,0,21.96,RFID unreadable
296,753,61,9,86,2023-10-09,Wash & Inspect,4,0,0,0,65.64,Odor detected
297,16176,5,7,86,2024-03-01,Wash & Inspect,8,8,8,0,20.37,
298,15642,77,2,275,2025-06-05,Cycle Count,12,12,12,0,64.24,Odor detected
299,23842,96,6,124,2025-12-24,Wash & Inspect,24,26,26,0,43.10,Odor detected
300,6359,18,6,286,2025-03-25,Repair,80,80,79,1,64.13,awaiting QA
301,4218,44,10,227,2025-11-01,Wash & Inspect,8,8,5,3,156.90,awaiting QA
302,20918,89,7,277,2025-05-10,Wash & Inspect,4,8,8,0,67.54,
303,11858,39,8,277,2023-05-04,Wash & Inspect,40,40,40,0,28.15,Count adjusted by hub
304,3454,18,1,27,2025-04-20,Wash & Inspect,60,60,60,0,85.98,Count adjusted by hub
305,10994,85,8,27,2026-06-22,Decommission,6,14,14,0,22.61,
306,25805,41,11,124,2025-02-01,Wash & Inspect,6,6,4,2,145.77,awaiting QA
307,18318,60,3,2,2024-09-27,Wash & Inspect,32,32,32,0,9.49,Odor detected
308,16660,33,2,217,2024-05-18,Wash & Inspect,12,16,15,0,73.90,Odor detected
309,4394,29,1,2,2023-07-01,Wash & Inspect,40,40,40,0,79.63,awaiting QA
310,25074,40,3,170,2023-03-15,Wash & Inspect,12,12,12,0,71.17,
311,1325,78,3,286,2023-08-03,Wash & Inspect,6,5,5,0,97.15,
312,18771,103,6,2,2024-12-12,Wash & Inspect,24,24,24,0,62.22,awaiting QA
313,20825,86,2,73,2023-10-25,Wash & Inspect,40,40,40,0,45.70,RFID unreadable
314,16411,90,5,88,2023-06-02,Wash & Inspect,24,24,24,0,72.51,
315,21540,47,8,286,2025-10-29,Wash & Inspect,4,3,1,2,111.03,Odor detected
316,14588,27,3,38,2025-07-16,Cycle Count,32,32,32,0,81.51,awaiting QA
317,1482,111,9,157,2026-07-04,Wash & Inspect,8,8,8,0,49.10,RFID unreadable
318,21429,62,2,73,2023-06-08,Repair,4,4,4,0,66.22,Odor detected
319,17700,9,10,100,2023-07-26,Wash & Inspect,80,80,75,5,183.85,
320,4564,20,6,86,2023-07-08,Wash & Inspect,40,40,40,0,28.72,Seal wear
321,3334,6,5,38,2026-03-07,Wash & Inspect,40,40,39,0,34.62,awaiting QA
322,4149,112,9,286,2023-01-22,Repair,60,60,60,0,48.35,Count adjusted by hub
323,12566,103,11,100,2023-01-19,Wash & Inspect,32,32,32,0,96.77,
324,4826,55,3,53,2025-09-14,Wash & Inspect,80,80,80,0,88.47,awaiting QA
325,726,2,5,100,2025-12-19,Wash & Inspect,16,16,16,0,34.52,
326,2872,96,8,38,2024-01-19,Wash & Inspect,12,11,11,0,21.01,RFID unreadable
