customer_id,customer_code,legal_name,trading_name,customer_segment,industry,home_region_id,account_manager_id,primary_email,primary_phone,lifecycle_status,registered_on,credit_limit,tax_id,record_source
22,CUS-000022,Aster Dairy Holdings,Aster Dairy Holdings,Regional,Food Distribution,1,241,miles@asterdairyholdings.example,872-861-6532,Active,2025-02-11,25000.00,51-5777704,CRM
23,CUS-000023,Crown Specialty Produce Holdings,Crown Specialty Produce Holdings,Enterprise,Clinical Logistics,7,41,fatima@crownspecialtyprod.example,248-858-6813,At Risk,2024-03-09,25000.00,36-7201507,CRM
24,CUS-000024,Cardinal Specialty Produce Partners,Cardinal Specialty Produce Partners,Enterprise,Specialty Grocery,10,83,caleb@cardinalspecialtyp.example,422-509-3676,Active,2023-01-15,50000.00,58-5080195,Manual Entry
25,CUS-000025,Pioneer Laboratories Co-op,Pioneer Laboratories Co-op,Mid-Market,Food Distribution,2,278,iris@pioneerlaboratorie.example,298-769-3469,Inactive,2024-02-03,250000.00,97-4931963,CRM
26,CUS-000026,Brightwell Cold Foods Foods,Brightwell Cold Foods Foods,Mid-Market,Specialty Grocery,10,165,hugo@brightwellcoldfood.example ,806-846-1071,Active,2023-02-16,250000.00,23-6191415,CRM
27,CUS-000027,Aster Floral Logistics Supply,Aster Floral Logistics Supply,Startup,Specialty Grocery,11,243,ben@asterflorallogisti.example,598-805-9948,Active,2025-08-13,150000.00,47-1838745,CRM
28,CUS-000028,Harbor Specialty Produce Manufacturing,Harbor Specialty Produce Mfg,Mid-Market,Beverage Distribution,11,187,priya@harborspecialtypro.example,865-242-1264,Inactive,2024-06-19,250000.00,47-2610055,Legacy CRM
29,CUS-000029,Orchard Biologics Labs,Orchard Biologics Labs,Startup,Cold-Chain Pharma,1,146,rafael@orchardbiologicsla.example,726-288-2156,Active,2024-12-20,75000.00,12-5418718,CRM
30,CUS-000030,Summit Meal Systems Group,Summit Meal Systems Group,enterprise ,Specialty Grocery,11,191,rina@summitmealsystemsg.example,603-817-8124,Active,2023-02-21,150000.00,37-2463565,CRM
31,CUS-000031,Harbor Ingredients Co-op,Harbor Ingredients Co-op,Regional,Meal Kit Producer,1,22,jonah@harboringredientsc.example,479-760-6869,Prospect,2024-07-12,100000.00,70-4682201,CRM
32,CUS-000032,Crescent Biologics Group,Crescent Biologics Group,Mid-Market,Meal Kit Producer,4,241,lena@crescentbiologicsg.example,406-302-8799,Active,2024-06-29,25000.00,62-6536505,CRM
33,CUS-000033,Granite Foods Supply,granite foods supply,Startup,Beverage Distribution,7,39,darren@granitefoodssupply.example,817-692-3996,active,2024-03-23,500000.00,16-8246821,Manual Entry
34,CUS-000034,Cedar Ingredients Partners,Cedar Ingredients Partners,Regional,Specialty Grocery,11,128,,00311 986 8088,Active,2023-06-13,150000.00,82-8928655,Legacy CRM
35,CUS-000035,Everfield Pet Nutrition Group,Everfield Pet Nutrition Group,Mid-Market,Clinical Logistics,11,249,priya@everfieldpetnutrit.example,342-590-7932,Active,2025-01-07,50000.00,84-9585483,Trade Show Import
36,CUS-000036,Aster Dairy Co-op,Aster Dairy Co-op,Regional,Clinical Logistics,11,226,miles@asterdairycoop.example,361-690-4831,Active,2024-01-10,150000.00,94-6660269,Legacy CRM
37,CUS-000037,Solace Meal Systems Foods,Solace Meal Systems Foods,Mid-Market,Food Distribution,9,252,mateo@solacemealsystemsf.example,427-850-2351,Active,2025-03-17,500000.00,57-8564435,Trade Show Import
38,CUS-000038,Summit Laboratories Logistics,Summit Laboratories Logistics,Mid-Market,Meal Kit Producer,1,121,mateo@summitlaboratories.example,870-605-2285,Active,2025-05-14,500000.00,35-1172520,Manual Entry
39,CUS-000039,Pioneer Foods Foods,Pioneer Foods Foods,Enterprise,Specialty Grocery,11,119,zara@pioneerfoodsfoods.example,977-392-6441,Inactive,2025-10-08,250000.00,89-3006285,CRM
40,CUS-000040,Harbor Specialty Produce Group,Harbor Specialty Produce Group,Enterprise,Food Distribution,4,236,rina@harborspecialtypro.example,262-969-2230,Active,2023-09-10,50000.00,70-8294741,CRM
41,CUS-000041,Aster Floral Logistics Manufacturing,Aster Floral Logistics Manufacturing,Enterprise,Specialty Grocery,9,146,zara@asterflorallogisti.example,404-483-4468,Active,2023-01-14,100000.00,90-3742047,Trade Show Import
42,CUS-000042,Brightwell Dairy Foods,Brightwell Dairy Foods,Enterprise,Clinical Logistics,7,14,caleb@brightwelldairyfoo.example,627-436-8732,Prospect,2023-06-17,25000.00,20-8088371,CRM
43,CUS-000043,Keystone Floral Logistics Logistics,Keystone Floral Logistics Logistics,Regional,Food Distribution,1,257,,263-842-4882,At Risk,2023-07-15,25000.00,23-3263213,Legacy CRM
44,CUS-000044,Helix Ingredients Partners,Helix Ingredients Partners,Mid-Market,Cold-Chain Pharma,7,140,iris@helixingredientspa.example,318-394-7899,Inactive,2024-09-13,250000.00,99-8998367,Manual Entry
45,CUS-000045,Forge Specialty Produce Logistics,Forge Specialty Produce Logistics,Enterprise,Cold-Chain Pharma,4,241,fatima@forgespecialtyprod.example,756-547-4518,Active,2023-05-30,150000.00,60-5697432,CRM
46,CUS-000046,Northwind Pharma Partners,Northwind Pharma Partners,enterprise ,Beverage Distribution,7,192,sofia@northwindpharmapar.example,837-867-2351,Active,2025-07-26,150000.00,53-3112578,CRM
47,CUS-000047,Riverbend Pharma Manufacturing,Riverbend Pharma Manufacturing,Regional,Food Distribution,3,74,ben@riverbendpharmaman.example,897-696-8364,active,2023-12-25,150000.00,52-7020919,CRM
48,CUS-000048,Cobalt Foods Manufacturing,Cobalt Foods Mfg,enterprise ,Beverage Distribution,7,262,darren@cobaltfoodsmanufac.example,229-663-1556,Active,2023-02-16,150000.00,80-9405902,CRM
49,CUS-000049,Summit Beverage Partners,Summit Beverage Partners,Mid-Market,Meal Kit Producer,5,22,noah@summitbeveragepart.example,615-332-8684,Active,2023-11-22,100000.00,76-2182097,CRM
50,CUS-000050,Aster Specialty Produce Co-op,Aster Specialty Produce Co-op,enterprise ,Meal Kit Producer,9,249,rina@asterspecialtyprod.example,626-744-1322,Active,2024-06-06,50000.00,39-3000852,Manual Entry
51,CUS-000051,Riverbend Pharma Labs,Riverbend Pharma Labs,Regional,Clinical Logistics,10,241,owen@riverbendpharmalab.example,861-548-2385,Active,2024-08-23,250000.00,47-2654111,Manual Entry
52,CUS-000052,Vantage Biologics Manufacturing,Vantage Biologics Manufacturing,enterprise ,Meal Kit Producer,8,51,avery@vantagebiologicsma.example,825-974-5592,Active,2023-01-31,250000.00,70-5619279,Manual Entry
53,CUS-000053,Briar Seafood Holdings,Briar Seafood Holdings,Startup,Clinical Logistics,4,146,hugo@briarseafoodholdin.example,637-780-7190,Active,2024-07-28,150000.00,59-1615084,Manual Entry
54,CUS-000054,Orchard Pharma Supply,Orchard Pharma Supply,enterprise ,Beverage Distribution,8,192,caleb@orchardpharmasuppl.example,915-917-4281,Active,2023-07-09,150000.00,68-7638661,CRM
55,CUS-000055,crown meal systems distribution,Crown Meal Systems Distribution,enterprise ,Meal Kit Producer,9,252,keiko@crownmealsystemsdi.example,727-938-1294,Active,2023-11-11,50000.00,28-1054653,Legacy CRM
56,CUS-000056,Bluevale Laboratories Holdings,Bluevale Laboratories Holdings,Startup,Food Distribution,4,191,anika@bluevalelaboratori.example,866-429-4375,Active,2023-04-20,150000.00,54-1210900,CRM
57,CUS-000057,Summit Pet Nutrition Holdings,Summit Pet Nutrition Holdings,Mid-Market,Food Distribution,10,67,avery@summitpetnutrition.example,334-447-9690,Active,2025-01-31,250000.00,16-5973875,CRM
58,CUS-000058,Keystone Cold Foods Manufacturing,Keystone Cold Foods Manufacturing,enterprise ,Food Distribution,4,226,nina@keystonecoldfoodsm.example,706-866-2184,Active,2024-06-16,50000.00,22-7785735,CRM
59,CUS-000059,Mosaic Meal Systems Co-op,Mosaic Meal Systems Co-op,enterprise ,Beverage Distribution,1,149,lena@mosaicmealsystemsc.example,682-931-7412,Inactive,2025-10-22,250000.00,20-2435585,Trade Show Import
60,CUS-000060,Helix Foods Co-op,Helix Foods Co-op,Startup,Food Distribution,4,262,owen@helixfoodscoop.example,511-697-3363,Active,2025-01-06,25000.00,61-1243851,CRM
61,CUS-000061,Lantern Foods Logistics,lantern foods logistics,Enterprise,Beverage Distribution,9,249,priya@lanternfoodslogist.example,824-349-1769,active,2024-07-19,50000.00,72-5049121,Trade Show Import
62,CUS-000062,Riverbend Beverage Group,Rivebrend Beverage Group,Startup,Food Distribution,4,280,jonah@riverbendbeverageg.example,814.613.5857,active,2024-10-26,250000.00,47-9359807,CRM
63,CUS-000063,Summit Ingredients Co-op,Summit Ingredients Co-op,Mid-Market,Meal Kit Producer,8,83,owen@summitingredientsc.example,219-937-7040,Inactive,2023-07-01,100000.00,84-3781743,Legacy CRM
64,CUS-000064,Oakmont Beverage Partners,Oakmont Beverage Partners,Regional,Clinical Logistics,3,310,iris@oakmontbeveragepar.example,426-820-9830,Active,2023-06-23,50000.00,46-9352575,Manual Entry
65,CUS-000065,Briar Nutrition Manufacturing,Briar Nutrition Manufacturing,Startup,Food Distribution,6,60,hugo@briarnutritionmanu.example,240-924-8641,Active,2023-09-29,75000.00,27-3784270,Manual Entry
66,CUS-000066,Forge Nutrition Supply,Forge Nutrition Supply,Regional,Clinical Logistics,7,183,keiko@forgenutritionsupp.example,743-539-8661,Active,2024-04-15,75000.00,88-5724862,Legacy CRM
67,CUS-000067,Westline Specialty Produce Logistics,Westline Specialty Produce Logistics,Startup,Specialty Grocery,11,140,talia@westlinespecialtyp.example,743-480-2634,Active,2025-10-01,100000.00,16-8635713,Trade Show Import
68,CUS-000068,Northwind Seafood Manufacturing,Northwind Seafood Manufacturing,Startup,Specialty Grocery,2,174,nina@northwindseafoodma.example,914-477-8799,Inactive,2025-10-06,250000.00,58-3182869,Legacy CRM
69,CUS-000069,Solace Laboratories Group,SOLACE LABORATORIES GROUP,Mid-Market,Food Distribution,3,78,lena@solacelaboratories.example,707-765-3518,Active,2024-11-16,500000.00,97-5192864,CRM
70,CUS-000070,Aster Cold Foods Supply,Aster Cold Foods Supply,Startup,Meal Kit Producer,9,262,darren@astercoldfoodssupp.example,979-756-2613,Active,2024-12-15,100000.00,88-4274150,Trade Show Import
71,CUS-000071,cardinal nutrition partners,Cardinal Nutrition Partners,Startup,Beverage Distribution,1,39,zara@cardinalnutritionp.example,712-896-9687,Active,2025-06-06,150000.00,56-1275570,CRM
72,CUS-000072,Northwind Floral Logistics Supply,Northwind Floral Logistics Supply,Startup,Clinical Logistics,3,68,keiko@northwindflorallog.example,432-368-1058,Active,2024-11-02,150000.00,75-3648006,Legacy CRM
73,CUS-000073,Riverbend Dairy Holdings,RIVERBEND DAIRY HOLDINGS,Mid-Market,Beverage Distribution,4,240,mateo@riverbenddairyhold.example,210-812-8627,Active,2025-09-16,75000.00,65-6594976,CRM
74,CUS-000074,Bluevale Cold Foods Distribution,Bluevale Cold Foods Distribution,enterprise ,Cold-Chain Pharma,5,106,jonah@bluevalecoldfoodsd.example,784-831-4386,Active,2024-09-26,150000.00,93-1789193,CRM
75,CUS-000075,Keystone Floral Logistics Co-op,KEYSTONE FLORAL LOGISTICS CO-OP,Startup,Specialty Grocery,9,258,fatima@keystoneflorallogi.example,827-449-3055,Active,2025-09-18,500000.00,42-7902310,Trade Show Import
76,CUS-000076,Everfield Beverage Foods,Everfield Beverage Foods,Startup,Meal Kit Producer,9,179,maya@everfieldbeveragef.example,314-888-9769,Active,2023-08-13,100000.00,17-7076307,CRM
77,CUS-000077,Bluevale Beverage Supply,Bluevale Beverage Supply,enterprise ,Meal Kit Producer,7,78,avery@bluevalebeveragesu.example,304-686-4412,Active,2023-06-25,50000.00,78-3355655,CRM
78,CUS-000078,Briar Beverage Distribution,Briar Beverage Distribution,enterprise ,Clinical Logistics,3,82,ben@briarbeveragedistr.example,585-475-1889,Active,2025-10-19,500000.00,71-6534742,CRM
79,CUS-000079,Forge Specialty Produce Partners,Forge Specialty Produce Partners,Startup,Meal Kit Producer,6,60,miles@forgespecialtyprod.example,498-580-7808,Active,2025-07-23,25000.00,31-5929008,Trade Show Import
80,CUS-000080,Cobalt Cold Foods Supply,Cobalt Cold Foods Supply,Regional,Clinical Logistics,8,60,lena@cobaltcoldfoodssup.example,687-578-8958,Active,2023-11-07,25000.00,62-2605953,CRM
81,CUS-000081,Summit Floral Logistics Foods,Summit Floral Logistics Foods,Mid-Market,Specialty Grocery,6,33,jonah@summitflorallogist.example,486-278-6858,Active,2023-08-22,75000.00,50-3563192,CRM
82,CUS-000082,Cedar Seafood Holdings,Cedar Seafood Holdings,Mid-Market,Food Distribution,7,254,iris@cedarseafoodholdin.example,593-692-6653,Active,2023-02-11,25000.00,42-7540836,CRM
83,CUS-000083,Cardinal Laboratories Co-op,Cardinal Laboratories Co-op,Mid-Market,Specialty Grocery,7,94,elias@cardinallaboratori.example,983-817-5274,Active,2023-04-27,25000.00,93-1115308,CRM
84,CUS-000084,Crown Foods Partners,Crown Foods Partners,Regional,Clinical Logistics,5,174,caleb@crownfoodspartners.example,254-410-2424,Active,2025-08-07,25000.00,15-3831725,CRM
85,CUS-000085,Meridian Beverage Foods ,Meridian Beverage Foods,Enterprise,Beverage Distribution,5,231,rafael@meridianbeveragefo.example,536-209-6037,Prospect,2024-11-13,150000.00,37-5817720,Manual Entry
86,CUS-000086,Cobalt Meal Systems Group,Cobalt Meal Systems Group,Mid-Market,Specialty Grocery,2,241,jonah@cobaltmealsystemsg.example,710-377-9736,Active,2025-03-25,500000.00,76-3501214,Trade Show Import
87,CUS-000087,Cardinal Nutrition Holdings,Cardinal Nutrition Holdings,Enterprise,Specialty Grocery,7,201,lena@cardinalnutritionh.example,513-933-5712,Active,2023-08-20,250000.00,10-7425312,CRM
88,CUS-000088,Lantern Nutrition Labs,Lantern Nutritino Labs,Mid-Market,Meal Kit Producer,6,299,ben@lanternnutritionla.example,703-953-3937,Inactive,2024-06-05,100000.00,60-2244529,CRM
89,CUS-000089,Trinity Specialty Produce Manufacturing,Trinity Specialty Produce Manufacturing,enterprise ,Beverage Distribution,4,146,fatima@trinityspecialtypr.example,283-468-9901,Active,2025-03-08,75000.00,50-9440452,Legacy CRM
90,CUS-000090,Westline Dairy Distribution,Westline Dairy Distribution,Regional,Cold-Chain Pharma,5,257,ben@westlinedairydistr.example,495-261-3180,active,2023-12-06,50000.00,24-6487723,CRM
91,CUS-000091,Briar Cold Foods Group,Briar Cold Foods Group,Regional,Beverage Distribution,8,121,priya@briarcoldfoodsgrou.example,521-700-9598,Active,2023-04-28,500000.00,23-5006452,Legacy CRM
92,CUS-000092,Summit Pharma Labs,Summit Pharma Labs,Startup,Cold-Chain Pharma,6,280,caleb@summitpharmalabs.example,515-820-9350,Active,2024-12-28,250000.00,94-7734432,CRM
93,CUS-000093,Summit Seafood Labs,Summit Seafood Labs,enterprise ,Food Distribution,7,252,noah@summitseafoodlabs.example,976-589-6706,Prospect,2025-05-14,50000.00,78-7322609,Legacy CRM
94,CUS-000094,Everfield Ingredients Logistics,Everfield Ingredients Logistics,Startup,Cold-Chain Pharma,6,108,mateo@everfieldingredien.example,608-437-6916,At Risk,2024-06-09,150000.00,56-6971364,CRM
95,CUS-000095,Cedar Floral Logistics Group,Cedar Floral Logistics Group,Regional,Beverage Distribution,5,69,lena@cedarflorallogisti.example,349-981-7271,Active,2023-10-07,25000.00,45-2092320,CRM
96,CUS-000096, Aster Pharma Partners,Aster Pharma Partners,Startup,Food Distribution,7,201,sofia@asterpharmapartner.example,434-961-7598,At Risk,2023-02-06,500000.00,43-7164366,Manual Entry
97,CUS-000097,Northwind Beverage Holdings ,Northwind Beverage Holdings,Startup,Beverage Distribution,7,19,owen@northwindbeverageh.example,439-436-6329,Active,2025-10-04,25000.00,31-8822185,CRM
98,CUS-000098,Cobalt Cold Foods Manufacturing,Cobalt Cold Foods Manufacturing,Mid-Market,Beverage Distribution,9,7,miles@cobaltcoldfoodsman.example,322-380-1812,Active,2023-05-20,500000.00,PENDING,Legacy CRM
99,CUS-000099,Aster Foods Co-op,Aster Foods Co-op,Regional,Food Distribution,4,266,hugo@asterfoodscoop.example,487-942-7376,Active,2025-07-25,75000.00,72-9964843,CRM
100,CUS-000100,HARBOR COLD FOODS GROUP,Harbor Cold Foods Group,enterprise ,Meal Kit Producer,11,252,mateo@harborcoldfoodsgro.example,743-367-2837,Active,2025-01-18,25000.00,36-8202393,Legacy CRM
101,CUS-000101,Vantage Nutrition Group,Vantage Nutrition Group,Enterprise,Clinical Logistics,11,236,darren@vantagenutritiongr.example,882-295-1192,Active,2025-09-09,25000.00,86-3772771,Manual Entry
102,CUS-000102, Vantage Pharma Supply,Vantage Pharma Supply,Enterprise,Food Distribution,3,262,zara@vantagepharmasuppl.example,610-788-4623,Inactive,2024-11-29,150000.00,86-6462202,Legacy CRM
103,CUS-000103,Pioneer Dairy Distribution,Pioneer Dairy Distribution,Enterprise,Specialty Grocery,10,78,priya@pioneerdairydistri.example,908-742-8004,Active,2023-05-13,150000.00,60-5226048,Legacy CRM
104,CUS-000104,Solace Specialty Produce Logistics,Solace Specialty Produce Logistics,enterprise ,Clinical Logistics,9,14,fatima@solacespecialtypro.example,909-200-4560,Active,2023-10-28,250000.00,57-9670966,Legacy CRM
105,CUS-000105,Northwind Floral Logistics Labs,Northwind Floral Logistics Labs,enterprise ,Specialty Grocery,2,51,,600-896-3578,Active,2023-04-10,75000.00,70-9030162,Legacy CRM
106,CUS-000106,Vantage Beverage Supply,vantage beverage supply,Mid-Market,Specialty Grocery,9,289,maya@vantagebeveragesup.example,478-268-5176,Active,2024-06-17,500000.00,45-6281151,Trade Show Import
107,CUS-000107,Keystone Floral Logistics Holdings,Keystone Floral Logistics Holdings,Regional,Food Distribution,6,226,jonah@keystoneflorallogi.example,623-806-9523,Active,2025-03-30,250000.00,57-8070809,CRM
108,CUS-000108,Cardinal Laboratories Labs,Cardinal Laboratories Labs,Mid-Market,Clinical Logistics,2,15,zara@cardinallaboratori.example,459-766-9288,Active,2025-09-17,500000.00,64-3919869,Manual Entry
109,CUS-000109,Granite Biologics Labs,Granit eBiologics Labs,Regional,Beverage Distribution,1,149,hugo@granitebiologicsla.example,472-561-1882,Active,2024-11-24,75000.00,11-9431979,Manual Entry
110,CUS-000110,Westline Meal Systems Manufacturing,Westline Meal Systems Mfg,Mid-Market,Meal Kit Producer,5,192,priya@westlinemealsystem.example,8453793201,Prospect,2024-06-04,75000.00,,Legacy CRM
111,CUS-000111,Everfield Specialty Produce Logistics,Everfield Specialty Produce Logistics,enterprise ,Cold-Chain Pharma,2,249,zara@everfieldspecialty.example,770-878-1922,Active,2024-05-04,100000.00,47-4163511,Trade Show Import
112,CUS-000112,Keystone Biologics Holdings,Keystone Biologics Holdings,enterprise ,Clinical Logistics,7,33,sofia@keystonebiologicsh.example,951-712-9722,Active,2023-09-05,150000.00,87-3028325,CRM
113,CUS-000113,Summit Laboratories Group,Summit Laboratories Group,Regional,Specialty Grocery,8,83,keiko@summitlaboratories.example,220-626-5159,At Risk,2025-03-21,25000.00,18-2580072,CRM
114,CUS-000114,Keystone Dairy Foods,Keystone Dairy Foods,Enterprise,Clinical Logistics,11,262,darren@keystonedairyfoods.example,612-961-9020,Active,2024-01-16,50000.00,18-7976440,Manual Entry
115,CUS-000115,Meridian Ingredients Partners,Meridian Ingredients Partners,Regional,Meal Kit Producer,1,30,ben@meridianingredient.example,617-720-4254,Active,2023-10-05,75000.00,83-7986635,Legacy CRM
116,CUS-000116,Crown Specialty Produce Manufacturing,Crown Specialty Produce Manufacturing,Enterprise,Specialty Grocery,3,201,anika@crownspecialtyprod.example,880-223-5321,INACTIVE ,2024-06-28,100000.00,43-3174470,CRM
117,CUS-000117,Forge Meal Systems Holdings,Forge Meal Systems Holdings,Startup,Cold-Chain Pharma,9,174,,761-215-2392,Active,2024-10-04,500000.00,43-9588536,CRM
118,CUS-000118,Westline Cold Foods Group,Westline Cold Foods Group,Regional,Food Distribution,10,12,nina@westlinecoldfoodsg.example,377-374-6083,Active,2024-03-31,250000.00,80-3889701,Manual Entry
119,CUS-000119,Keystone Ingredients Distribution,Keystone Ingredients Distribution,Enterprise,Cold-Chain Pharma,8,22,miles@keystoneingredient.example,301-547-4601,active,2025-02-05,25000.00,19-5797050,CRM
120,CUS-000120,Pioneer Pet Nutrition Group,Pioneer Pet Nutrition Group,enterprise ,Food Distribution,9,121,elias@pioneerpetnutritio.example,581-626-5932,Active,2025-02-20,75000.00,43-2428486,CRM
121,CUS-000121,Vantage Pharma Co-op,Vantage Pharma Co-op,Enterprise,Meal Kit Producer,2,280,sofia@vantagepharmacoop.example,291-422-1910,At Risk,2024-10-10,50000.00,30-2137564,CRM
122,CUS-000122,Cobalt Cold Foods Logistics,Cobalt Cold Foods Logistics,enterprise ,Cold-Chain Pharma,11,190,elias@cobaltcoldfoodslog.example,656-484-2161,Active,2024-06-27,100000.00,98-7096712,CRM
123,CUS-000123,LANTERN BEVERAGE CO-OP,Lantern Beverage Co-op,Startup,Clinical Logistics,4,161,fatima@lanternbeveragecoo.example,953-608-8218,Active,2023-03-12,50000.00,53-4205616,CRM
124,CUS-000124,Aster Beverage Logistics,Aster Beverage Logistics,enterprise ,Beverage Distribution,8,295,rina@asterbeveragelogis.example,570-769-5781,At Risk,2023-03-01,100000.00,12-3282279,CRM
125,CUS-000125,Crown Foods Labs,Crown Foods Labs,enterprise ,Cold-Chain Pharma,7,254,elias@crownfoodslabs.example,527-564-9341,At Risk,2023-08-19,250000.00,58-9331458,CRM
126,CUS-000126,Aster Nutrition Holdings,Aster Nutrition Holdings,Startup,Cold-Chain Pharma,5,289,nina@asternutritionhold.example,289-803-5675,At Risk,2024-10-05,500000.00,11-9479272,Manual Entry
127,CUS-000127,Briar Dairy Supply,Briar Dairy Supply,Regional,Food Distribution,2,68,,545.463.6667,Active,2025-04-18,500000.00,38-9253572,Legacy CRM
128,CUS-000128,Brightwell Seafood Co-op,Brightwell Seafood Co-op,Startup,Meal Kit Producer,10,193,rina@brightwellseafoodc.example,296-207-8046,Active,2025-09-05,75000.00,42-9840376,CRM
129,CUS-000129,Lakeside Floral Logistics Labs,Lakeside Floral Logistics Labs,Enterprise,Cold-Chain Pharma,9,243,caleb@lakesideflorallogi.example,679-547-4187,Inactive,2024-11-24,150000.00,45-5039634,CRM
130,CUS-000130,Orchard Dairy Labs,Orchard Dairy Labs,Startup,Beverage Distribution,3,266,keiko@orcharddairylabs.example,533-313-7383,Active,2023-04-09,50000.00,58-3133821,CRM
131,CUS-000131,Trinity Laboratories Foods,Trinity Laboratories Foods,Enterprise,Beverage Distribution,3,14,sofia@trinitylaboratorie.example,871-974-5540,At Risk,2024-01-23,75000.00,35-2310370,CRM
132,CUS-000132,Crescent Pet Nutrition Group,Crescent Pet Nutrition Group,Enterprise,Specialty Grocery,10,105,rina@crescentpetnutriti.example,853-880-7303,Inactive,2024-01-20,100000.00,31-7133350,Legacy CRM
133,CUS-000133,Everfield Specialty Produce Holdings,Everfield Specialty Produce Holdings,Regional,Specialty Grocery,1,14,avery@everfieldspecialty.example,383-610-1462,Active,2023-07-18,500000.00,69-4698191,Manual Entry
