shipment_id,shipment_number,order_id,carrier_supplier_id,origin_region_id,destination_region_id,coordinator_employee_id,shipment_status,dispatch_date,scheduled_arrival_date,actual_arrival_date,tracking_reference,freight_cost,damage_units,temperature_excursion_flag
25,SHP-2023-0000025,22,69,4,10,132,"('Exception', None)",2023-11-26,2023-12-03,,FRT-25412592,174.68,1,False
26,SHP-2025-0000026,23,90,2,10,53,"('Exception', None)",2025-12-13,2025-12-17,,RLX-89741189,153.53,3,False
27,SHP-2025-0000027,24,85,3,3,237,"('Booked', None)",2025-04-25,2025-05-01,,TRK-62796336,462.52,0,False
28,SHP-2025-0000028,25,36,4,10,286,Delivered,2025-02-18,2025-02-23,2025-02-25,TRK-39592405,212.65,0,False
29,SHP-2024-0000029,26,71,5,11,143,"('In Transit', None)",2024-06-08,2024-06-09,,RLX-84446290,350.96,0,False
30,SHP-2025-0000030,27,80,11,11,85,Delivered,2025-10-06,2025-10-10,2025-10-16,COLD-62422400,1043.18,2,False
31,SHP-2024-0000031,28,68,6,1,271,Delivered,2024-06-08,2024-06-10,2024-06-12,TRK-83025219,9.30,0,False
32,SHP-2023-0000032,29,68,2,6,171,"('In Transit', None)",2023-01-19,2023-01-27,,RLX-11715832,495.51,0,False
33,SHP-2023-0000033,30,40,10,2,221,Delivered ,2023-02-16,2023-02-19,2023-02-20,COLD-33966867,662.43,0,False
34,SHP-2025-0000034,31,69,2,2,124,Delivered,2025-10-04,2025-10-08,2025-10-18,,716.36,3,False
35,SHP-2024-0000035,32,44,10,6,305,Delivered,2024-02-23,2024-02-26,2024-02-27,,482.40,0,False
36,SHP-2024-0000036,33,40,9,10,277,Delivered,2024-01-10,2024-01-14,2024-01-15,FRT-81543659,1714.44,4,True
37,SHP-2023-0000037,34,1,2,4,92,Delivered,2023-02-04,2023-02-13,2023-02-14,COLD-69479634,920.62,0,False
38,SHP-2023-0000038,34,10,2,2,297,Delivered,2023-02-06,2023-02-08,2023-02-17,TRK-21798267,114.60,0,False
39,SHP-2023-0000039,35,69,4,1,80,"('Booked', None)",2023-08-23,2023-08-31,,RLX-99903179,695.10,0,False
40,SHP-2023-0000040,35,1,4,4,17,"('Exception', None)",2023-08-23,2023-08-25,,TRK-24642649,218.05,1,False
41,SHP-2025-0000041,36,85,10,3,235,"('Booked', None)",2025-12-21,2025-12-23,,FRT-18036109,1346.34,0,False
42,SHP-2023-0000042,37,35,8,8,34,"('In Transit', None)",2023-05-03,2023-05-05,,TRK-66340389,263.06,0,False
43,SHP-2023-0000043,38,18,9,9,186,Delivered,2023-06-02,2023-06-06,2023-06-07,RLX-59190661,1229.43,0,False
44,SHP-2023-0000044,39,46,11,11,172,"('Booked', None)",2023-04-05,2023-04-06,,COLD-42293238,739.42,0,False
45,SHP-2025-0000045,40,1,1,1,302,"('In Transit', None)",2025-06-12,2025-06-21,,COLD-75908632,176.53,2,False
46,SHP-2023-0000046,41,85,1,1,304,Delivered,2023-06-12,2023-06-15,2023-06-16,RLX-27372887,278.81,3,False
47,SHP-2024-0000047,42,62,7,1,276,"('Booked', None)",2024-05-08,2024-05-16,,RLX-47589270,948.88,0,False
48,SHP-2024-0000048,44,68,7,7,177,Delivered,2024-11-12,2024-11-20,2024-11-20,RLX-18321236,758.93,0,False
49,SHP-2023-0000049,45,91,4,5,176,Delivered,2023-10-29,2023-10-30,2023-10-29,RLX-42085850,239.55,0,False
50,SHP-2026-0000050,46,91,10,10,166,"('Exception', None)",2026-02-21,2026-03-01,,COLD-37326056,1242.72,0,False
51,SHP-2026-0000051,47,68,4,5,43,"('In Transit', None)",2026-07-03,2026-07-12,,FRT-85656413,664.13,0,False
52,SHP-2025-0000052,48,62,2,2,276,Delivered,2025-05-27,2025-05-29,2025-05-29,RLX-41579355,738.33,0,False
53,SHP-2025-0000053,48,68,2,7,167,Delivered,2025-05-28,2025-06-03,2025-06-06,COLD-29974085,818.08,0,False
54,SHP-2023-0000054,49,1,11,2,87,Delivered,2023-02-27,2023-03-04,2023-03-05,COLD-92894617,1697.47,0,False
55,SHP-2023-0000055,50,60,8,8,302,Delivered,2023-10-05,2023-10-11,2023-10-12,TRK-33788744,329.36,0,False
56,SHP-2025-0000056,51,68,4,1,18,"('In Transit', None)",2025-10-16,2025-10-22,,RLX-59990080,254.74,0,False
57,SHP-2024-0000057,52,36,2,2,95,Delivered,2024-06-15,2024-06-19,2024-06-24,FRT-23946305,541.74,0,False
58,SHP-2024-0000058,52,55,2,2,6,Delivered,2024-06-14,2024-06-21,2024-06-20,FRT-48440714,826.86,0,False
59,SHP-2024-0000059,53,40,4,4,279,"('In Transit', None)",2024-04-01,2024-04-08,,FRT-83548889,132.82,0,False
60,SHP-2024-0000060,54,44,1,1,141,Delivered,2024-03-19,2024-03-28,2024-03-29,TRK-22674804,190.02,0,False
61,SHP-2025-0000061,55,12,6,6,95,Delivered,2025-07-12,2025-07-15,2025-07-14,RLX-81912335,294.78,0,False
62,SHP-2023-0000062,56,62,4,4,305,Delivered,2023-07-06,2023-07-14,2023-07-14,FRT-66169488,850.75,0,False
63,SHP-2024-0000063,57,69,3,3,286,Delivered,2024-12-06,2024-12-09,2024-12-09,COLD-55214174,680.13,0,False
64,SHP-2023-0000064,58,55,1,1,73,Delivered,2023-01-09,2023-01-17,2023-01-19,,287.41,0,False
65,SHP-2025-0000065,59,80,1,1,38,Delivered,2025-06-30,2025-07-08,2025-07-07,RLX-41327214,919.92,1,False
66,SHP-2025-0000066,60,33,4,9,276,"('In Transit', None)",2025-03-23,2025-03-24,,RLX-20471796,127.08,0,False
67,SHP-2025-0000067,61,35,10,7,217,"('Exception', None)",2025-05-20,2025-05-24,,RLX-43248036,697.13,0,False
68,SHP-2025-0000068,62,44,2,2,167,Delivered,2025-11-03,2025-11-11,2025-11-11,TRK-17986474,587.41,0,False
69,SHP-2024-0000069,63,84,4,8,200,Delivered,2024-03-22,2024-03-26,2024-04-01,COLD-85534543,661.35,0,False
70,SHP-2024-0000070,63,44,4,8,227,Delivered,2024-03-24,2024-03-28,2024-03-28,TRK-61841050,632.40,0,False
71,SHP-2025-0000071,64,60,10,7,276,Delivered,2025-04-06,2025-04-07,2025-04-07,TRK-16211865,339.84,0,False
72,SHP-2023-0000072,65,90,2,2,297,"('Booked', None)",2023-07-13,2023-07-15,,COLD-20272506,949.05,5,False
73,SHP-2023-0000073,65,26,2,2,177,"('Booked', None)",2023-07-14,2023-07-22,,RLX-80300177,365.78,0,False
74,SHP-2024-0000074,66,71,5,11,286,Delivered,2024-07-15,2024-07-18,2024-07-18,COLD-59366571,389.38,0,False
75,SHP-2024-0000075,67,60,4,11,27,Delivered ,2024-03-20,2024-03-21,2024-03-23,,420.56,0,True
76,SHP-2023-0000076,68,18,1,1,304,Delivered,2023-09-05,2023-09-12,2023-09-11,COLD-50904792,857.04,5,False
77,SHP-2023-0000077,69,30,4,1,29,Delivered,2023-07-06,2023-07-12,2023-07-11,TRK-56876473,781.20,0,False
78,SHP-2025-0000078,71,12,9,3,141,"('In Transit', None)",2025-10-04,2025-10-12,,RLX-36186041,1258.74,1,False
79,SHP-2023-0000079,72,55,6,8,101,"('Booked', None)",2023-05-22,2023-05-29,,TRK-63178270,330.83,0,False
80,SHP-2024-0000080,73,9,1,1,101,"('In Transit', None)",2024-10-23,2024-10-28,,RLX-20553045,292.44,0,False
81,SHP-2025-0000081,74,10,5,5,65,"('In Transit', None)",2025-07-29,2025-08-01,,TRK-86600518,188.96,0,False
82,SHP-2026-0000082,75,91,7,7,212,Delivered,2026-06-23,2026-06-30,2026-07-07,RLX-86229932,199.88,0,False
83,SHP-2025-0000083,76,27,11,9,49,Delivered,2025-04-15,2025-04-22,2025-04-24,COLD-41445009,498.14,1,False
84,SHP-2026-0000084,77,35,11,11,158,"('In Transit', None)",2026-04-17,2026-04-19,,RLX-25981740,426.13,0,False
85,SHP-2024-0000085,78,71,11,11,276,Delivered,2024-09-20,2024-09-24,2024-10-04,RLX-27105489,1517.64,0,False
86,SHP-2026-0000086,79,18,5,5,49,Delivered,2026-04-02,2026-04-07,2026-04-09,FRT-98486731,3451.10,0,False
87,SHP-2026-0000087,80,18,4,7,53,Delivered,2026-06-29,2026-06-30,2026-07-04,TRK-88076159,600.89,0,False
88,SHP-2023-0000088,81,91,7,1,21,Delivered,2023-04-29,2023-05-02,2023-05-12,FRT-16484809,787.85,0,False
89,SHP-2024-0000089,82,68,6,9,288,"('Exception', None)",2024-02-05,2024-02-09,,COLD-19804765,272.91,0,False
90,SHP-2023-0000090,84,60,11,11,221,Delivered ,2023-06-17,2023-06-24,2023-06-23,RLX-65628945,1260.79,0,False
91,SHP-2023-0000091,85,60,7,7,158,Delivered,2023-09-01,2023-09-07,2023-09-06,COLD-76894889,253.62,0,False
92,SHP-2024-0000092,86,62,4,10,194,Delivered,2024-08-01,2024-08-09,2024-08-10,COLD-79019251,499.95,0,False
93,SHP-2025-0000093,88,84,11,11,264,Delivered,2025-11-27,2025-11-28,2025-12-05,FRT-95959442,434.56,2,False
94,SHP-2025-0000094,88,69,11,11,150,Delivered,2025-11-25,2025-11-27,2025-11-29,RLX-63680076,543.27,0,False
95,SHP-2023-0000095,89,55,2,9,92,"('In Transit', None)",2023-12-26,2023-12-29,,TRK-53070373,655.24,0,False
96,SHP-2025-0000096,90,80,6,8,95,"('In Transit', None)",2025-11-29,2025-12-08,,COLD-35182164,633.87,0,False
97,SHP-2025-0000097,91,74,2,2,47,Delivered,2025-12-02,2025-12-06,2025-12-12,TRK-77036890,679.40,0,True
98,SHP-2026-0000098,92,69,3,3,9,Delivered,2026-01-13,2026-01-15,2026-01-19,FRT-81467904,366.50,2,False
99,SHP-2025-0000099,93,62,5,5,17,Delivered ,2025-04-13,2025-04-17,2025-04-19,RLX-38459470,895.70,0,False
100,SHP-2025-0000100,94,35,1,1,275,Delivered,2025-07-27,2025-08-05,2025-08-04,FRT-18674901,637.65,0,False
101,SHP-2025-0000101,95,69,6,7,59,Delivered,2025-02-13,2025-02-15,2025-02-23,COLD-41577699,707.02,4,False
102,SHP-2024-0000102,96,68,8,4,59,"('Exception', None)",2024-09-16,2024-09-17,,FRT-55203328,147.80,0,False
103,SHP-2024-0000103,97,3,8,8,167,Delivered,2024-12-30,2025-01-05,2025-01-10,TRK-35759842,823.80,0,False
104,SHP-2025-0000104,98,35,11,8,300,Delivered,2025-06-04,2025-06-11,2025-06-10,RLX-89590137,615.27,0,False
105,SHP-2023-0000105,100,68,5,6,212,Delivered,2023-01-25,2023-02-01,2023-02-02,COLD-13522493,377.73,0,False
106,SHP-2025-0000106,101,33,5,8,87,Delivered,2025-09-19,2025-09-27,2025-09-29,RLX-45940030,851.17,4,False
107,SHP-2023-0000107,103,10,10,10,188,Delivered,2023-05-31,2023-06-03,2023-06-03,RLX-41256065,1566.82,0,False
108,SHP-2026-0000108,104,33,2,10,171,"('Booked', None)",2026-06-06,2026-06-12,,COLD-63677198,300.53,0,False
109,SHP-2024-0000109,105,33,4,4,188,Delivered,2024-12-06,2024-12-07,2024-12-07,RLX-98465832,398.56,0,False
110,SHP-2024-0000110,106,90,4,4,221,Delivered,2024-01-28,2024-02-06,2024-02-13,RLX-94230875,671.33,0,False
111,SHP-2025-0000111,107,46,5,7,43,Delivered,2025-07-18,2025-07-19,2025-07-21,COLD-10691706,284.86,0,False
112,SHP-2024-0000112,108,69,10,3,264,Delivered,2024-09-08,2024-09-12,2024-09-11,COLD-36715810,964.13,0,False
113,SHP-2024-0000113,108,90,10,10,23,Delivered,2024-09-11,2024-09-12,2024-09-23,TRK-93134482,1001.30,0,False
114,SHP-2024-0000114,109,3,2,2,235,Delivered,2024-05-14,2024-05-20,2024-05-21,FRT-67152741,638.52,0,False
115,SHP-2024-0000115,109,62,2,1,284,Delivered,2024-05-13,2024-05-14,2024-05-14,COLD-57523834,767.04,0,False
116,SHP-2023-0000116,110,80,1,1,304,"('In Transit', None)",2023-11-18,2023-11-23,,RLX-41575890,815.07,0,False
117,SHP-2023-0000117,110,46,1,11,177,"('In Transit', None)",2023-11-19,2023-11-22,,FRT-92030928,327.31,0,False
118,SHP-2024-0000118,112,80,5,6,141,Delivered,2024-09-25,2024-09-26,2024-09-26,TRK-23338239,886.93,0,False
119,SHP-2024-0000119,112,9,5,5,171,Delivered,2024-09-28,2024-10-07,2024-10-07,RLX-28177948,202.80,0,False
120,SHP-2024-0000120,113,74,4,4,92,"('Booked', None)",2024-06-06,2024-06-11,,TRK-92007003,223.72,0,False
121,SHP-2025-0000121,114,46,10,10,235,Delivered ,2025-06-09,2025-06-14,2025-06-13,COLD-19538496,513.69,2,False
122,SHP-2025-0000122,115,12,11,7,176,Delivered,2025-01-25,2025-02-01,2025-01-31,COLD-87940959,86.01,0,False
123,SHP-2023-0000123,116,91,9,9,47,Delivered,2023-09-27,2023-10-01,2023-10-02,TRK-91324235,1470.13,0,False
124,SHP-2023-0000124,116,40,9,2,27,Delivered ,2023-10-01,2023-10-10,2023-10-11,,1717.77,0,False
125,SHP-2024-0000125,117,69,4,11,172,"('In Transit', None)",2024-08-19,2024-08-24,,RLX-69750521,111.33,0,False
126,SHP-2026-0000126,118,91,4,4,87,Delivered,2026-05-03,2026-05-06,2026-05-16,COLD-11766443,307.86,0,False
127,SHP-2024-0000127,119,26,11,11,65,"('Exception', None)",2024-09-22,2024-09-25,,,344.58,0,False
128,SHP-2023-0000128,120,44,9,1,172,Delivered,2023-12-13,2023-12-21,2023-12-23,TRK-92521391,424.25,0,True
129,SHP-2024-0000129,121,84,2,2,300,Delivered,2024-02-21,2024-02-27,2024-02-27,RLX-64904673,754.36,0,False
130,SHP-2023-0000130,123,33,2,2,216,Delivered,2023-04-04,2023-04-06,2023-04-08,TRK-62946040,250.25,0,False
131,SHP-2024-0000131,124,9,5,6,188,"('Exception', None)",2024-11-07,2024-11-08,,RLX-29253451,351.94,0,False
132,SHP-2025-0000132,125,69,6,11,100,"('In Transit', None)",2025-05-28,2025-05-29,,TRK-62678411,665.46,0,False
133,SHP-2023-0000133,126,69,1,8,29,"('Booked', None)",2023-12-14,2023-12-16,,RLX-40771274,611.13,0,False
134,SHP-2024-0000134,127,85,4,8,92,Delivered ,2024-11-27,2024-12-04,2024-12-04,TRK-18546906,621.35,0,False
135,SHP-2024-0000135,128,55,10,10,80,"('Exception', None)",2024-04-23,2024-04-26,,TRK-88212329,1058.04,0,False
136,SHP-2026-0000136,129,46,1,3,194,Delivered,2026-03-13,2026-03-20,2026-03-20,TRK-36350695,840.25,4,False
137,SHP-2023-0000137,130,27,9,9,27,Delivered ,2023-05-14,2023-05-17,2023-05-17,TRK-88702430,1245.06,0,False
138,SHP-2025-0000138,131,90,8,2,276,Delivered,2025-05-29,2025-06-03,2025-06-03,FRT-64428075,220.69,0,False
139,SHP-2025-0000139,132,71,3,10,101,"('Booked', None)",2025-11-14,2025-11-23,,COLD-98985191,662.10,0,False
140,SHP-2023-0000140,133,35,2,2,38,Delivered,2023-02-01,2023-02-07,2023-02-06,TRK-13883361,626.72,0,False
141,SHP-2023-0000141,134,10,11,11,87,Delivered,2023-02-13,2023-02-15,2023-02-18,COLD-27210459,516.52,5,False
142,SHP-2024-0000142,135,33,2,1,47,"('Exception', None)",2024-10-21,2024-10-25,,RLX-19917199,293.73,2,False
143,SHP-2023-0000143,136,33,7,7,298,"('Booked', None)",2023-12-22,2023-12-29,,RLX-37248698,438.02,0,False
144,SHP-2025-0000144,137,26,9,7,86,Delivered,2025-12-30,2026-01-02,2026-01-01,TRK-41323665,622.51,0,False
145,SHP-2023-0000145,138,74,9,9,29,Delivered,2023-08-04,2023-08-08,2023-08-10,RLX-79240368,338.03,0,False
146,SHP-2026-0000146,139,27,11,11,138,Delivered,2026-01-01,2026-01-04,2026-01-11,RLX-89141839,246.83,0,False
147,SHP-2026-0000147,140,1,7,7,235,Delivered,2026-03-08,2026-03-09,2026-03-08,TRK-98578614,672.55,0,False
148,SHP-2025-0000148,141,10,9,9,274,Delivered ,2025-10-18,2025-10-24,2025-10-23,COLD-84325110,749.26,0,False
149,SHP-2023-0000149,142,40,11,11,38,Delivered,2023-07-22,2023-07-25,2023-07-26,RLX-78596068,1332.32,0,False
150,SHP-2023-0000150,143,1,2,5,116,"('Exception', None)",2023-03-28,2023-04-05,,TRK-37611827,663.31,0,False
151,SHP-2026-0000151,144,91,8,8,157,Delivered,2026-05-29,2026-06-01,2026-05-31,TRK-97987340,478.00,1,False
152,SHP-2025-0000152,145,80,9,9,23,"('Exception', None)",2025-01-05,2025-01-06,,FRT-33832233,1338.74,0,False
153,SHP-2025-0000153,145,40,9,7,9,"('In Transit', None)",2025-01-09,2025-01-15,,COLD-19715878,1060.17,0,False
154,SHP-2025-0000154,146,69,10,10,95,Delivered,2025-08-01,2025-08-02,2025-08-03,RLX-43174482,561.59,0,False
155,SHP-2026-0000155,147,85,7,7,21,Delivered,2026-06-11,2026-06-12,2026-06-14,FRT-99980609,631.32,0,True
156,SHP-2026-0000156,149,3,10,8,70,Delivered,2026-02-05,2026-02-07,2026-02-09,TRK-91569928,1049.69,0,False
157,SHP-2026-0000157,151,10,6,6,92,"('Exception', None)",2026-06-25,2026-07-01,,FRT-40685106,798.11,4,False
158,SHP-2026-0000158,152,18,8,5,286,Delivered,2026-03-03,2026-03-12,2026-03-11,,534.87,0,False
159,SHP-2025-0000159,153,35,8,5,17,"('In Transit', None)",2025-04-08,2025-04-11,,TRK-14900924,619.83,0,False
160,SHP-2023-0000160,154,18,9,3,85,Delivered,2023-07-11,2023-07-15,2023-07-14,FRT-30157410,582.16,0,False
161,SHP-2025-0000161,155,90,10,10,277,Delivered,2025-01-25,2025-02-02,2025-02-05,RLX-94538874,1654.34,0,False
162,SHP-2024-0000162,156,9,1,1,170,Delivered,2024-05-26,2024-05-31,2024-06-11,FRT-80390230,912.55,0,False
163,SHP-2024-0000163,157,12,1,1,9,Delivered,2024-11-01,2024-11-03,2024-11-05,RLX-71434556,692.11,0,False
164,SHP-2024-0000164,157,1,1,1,171,Delivered,2024-11-01,2024-11-05,2024-11-06,TRK-24291062,726.79,0,True
165,SHP-2026-0000165,158,35,6,3,188,"('Booked', None)",2026-02-03,2026-02-04,,RLX-31112815,393.68,0,False
166,SHP-2025-0000166,160,55,6,6,286,Delivered,2025-06-14,2025-06-21,2025-06-21,RLX-36547858,897.99,3,False
167,SHP-2024-0000167,161,46,4,1,49,"('Exception', None)",2024-06-21,2024-06-23,,RLX-11375684,196.42,0,False
168,SHP-2026-0000168,162,9,8,8,275,Delivered,2026-04-26,2026-04-28,2026-04-28,COLD-99235280,321.02,0,False
169,SHP-2026-0000169,163,3,3,3,92,Delivered ,2026-01-06,2026-01-07,2026-01-09,COLD-79779195,400.03,0,False
170,SHP-2026-0000170,163,12,3,3,217,Delivered,2026-01-07,2026-01-11,2026-01-10,,574.53,0,False
171,SHP-2023-0000171,164,27,9,4,283,Delivered,2023-04-29,2023-05-04,2023-05-05,RLX-15274581,843.38,0,False
172,SHP-2023-0000172,165,69,3,1,221,Delivered,2023-01-22,2023-01-27,2023-01-29,TRK-38925515,652.00,0,False
173,SHP-2023-0000173,166,62,3,4,237,Delivered,2023-01-11,2023-01-20,2023-01-22,RLX-58897550,692.70,4,False
174,SHP-2023-0000174,167,30,10,8,194,Delivered,2023-12-09,2023-12-10,2023-12-17,FRT-99474000,310.70,0,False
175,SHP-2025-0000175,168,3,7,9,276,Delivered,2025-11-04,2025-11-08,2025-11-07,FRT-44330163,653.31,0,False
176,SHP-2024-0000176,169,69,10,10,275,"('Booked', None)",2024-10-04,2024-10-12,,FRT-12103138,1175.86,0,False
177,SHP-2024-0000177,170,35,6,6,302,"('In Transit', None)",2024-10-06,2024-10-11,,FRT-26073838,523.36,0,False
178,SHP-2023-0000178,171,18,1,1,274,Delivered,2023-03-30,2023-04-08,2023-04-09,TRK-54678521,466.83,0,False
179,SHP-2025-0000179,172,91,2,3,80,Delivered,2025-06-04,2025-06-11,2025-06-11,FRT-36747548,923.70,0,False
180,SHP-2025-0000180,173,30,4,6,171,"('In Transit', None)",2025-02-07,2025-02-11,,COLD-19937300,577.32,0,False
181,SHP-2025-0000181,174,69,6,8,157,"('Booked', None)",2025-10-14,2025-10-19,,COLD-64250695,589.58,0,False
182,SHP-2023-0000182,175,68,3,7,200,"('Exception', None)",2023-02-28,2023-03-09,,FRT-63298784,361.78,0,False
183,SHP-2024-0000183,177,55,2,2,66,Delivered,2024-06-11,2024-06-15,2024-06-18,FRT-11589651,930.94,0,False
184,SHP-2023-0000184,178,30,3,3,59,"('Booked', None)",2023-09-09,2023-09-10,,TRK-53065388,453.59,0,False
185,SHP-2023-0000185,179,55,9,6,27,"('Exception', None)",2023-05-12,2023-05-21,,TRK-21794702,280.17,0,False
186,SHP-2026-0000186,180,69,7,4,2,Delivered,2026-06-19,2026-06-27,2026-07-04,TRK-91941627,524.06,6,False
187,SHP-2026-0000187,180,90,7,4,43,Delivered,2026-06-20,2026-06-25,2026-06-26,RLX-54344760,636.13,0,False
188,SHP-2023-0000188,181,35,9,9,100,"('Exception', None)",2023-05-21,2023-05-23,,COLD-82947446,594.10,0,False
189,SHP-2023-0000189,182,46,9,9,92,Delivered,2023-12-19,2023-12-25,2024-01-04,COLD-97842219,1694.56,0,False
190,SHP-2024-0000190,183,3,8,8,186,Delivered,2024-12-22,2024-12-25,2025-01-01,FRT-59848335,893.63,0,False
191,SHP-2024-0000191,183,9,8,8,300,Delivered,2024-12-23,2024-12-31,2025-01-08,RLX-58337055,702.90,3,False
192,SHP-2024-0000192,185,74,11,3,27,Delivered,2024-02-02,2024-02-03,2024-02-11,COLD-38727783,1576.29,0,False
193,SHP-2024-0000193,186,55,7,2,200,"('In Transit', None)",2024-05-06,2024-05-08,,COLD-83903478,369.94,0,False
194,SHP-2024-0000194,187,27,3,5,212,Delivered,2024-04-14,2024-04-16,2024-04-28,COLD-31328587,110.63,0,False
195,SHP-2023-0000195,188,35,3,8,138,Delivered,2023-03-03,2023-03-08,2023-03-09,TRK-47648658,314.21,0,False
196,SHP-2023-0000196,189,40,6,6,18,Delivered,2023-03-20,2023-03-23,2023-03-24,COLD-55074479,368.18,0,False
197,SHP-2023-0000197,190,26,9,9,66,Delivered,2023-02-07,2023-02-16,2023-02-16,COLD-78984530,1640.63,0,False
198,SHP-2024-0000198,191,55,7,7,23,Delivered,2024-07-14,2024-07-16,2024-07-17,COLD-54176480,552.05,0,False
199,SHP-2025-0000199,193,12,2,6,286,Delivered,2025-06-15,2025-06-18,2025-06-18,FRT-86597447,720.21,0,False
200,SHP-2023-0000200,194,35,1,3,221,Delivered ,2023-11-02,2023-11-08,2023-11-16,TRK-37753284,499.05,0,False
201,SHP-2025-0000201,195,62,5,8,95,Delivered,2025-10-12,2025-10-16,2025-10-16,FRT-63371971,74.45,0,False
202,SHP-2025-0000202,195,1,5,5,77,Delivered,2025-10-12,2025-10-16,2025-10-15,RLX-11071689,531.11,0,False
203,SHP-2023-0000203,196,69,11,2,264,Delivered,2023-08-29,2023-09-07,2023-09-06,RLX-38662591,795.24,0,False
204,SHP-2025-0000204,197,35,2,2,277,Delivered,2025-01-15,2025-01-20,2025-01-26,,666.59,0,False
205,SHP-2023-0000205,198,44,2,2,124,"('Exception', None)",2023-03-30,2023-04-04,,TRK-39124882,439.33,0,False
206,SHP-2026-0000206,199,9,10,2,279,Delivered,2026-01-11,2026-01-19,2026-01-21,FRT-16238520,1134.75,0,False
207,SHP-2026-0000207,199,3,10,10,59,Delivered,2026-01-12,2026-01-18,2026-01-20,RLX-65178625,1433.99,0,False
208,SHP-2026-0000208,200,18,2,8,77,"('In Transit', None)",2026-05-18,2026-05-21,,COLD-51675729,233.04,0,False
209,SHP-2023-0000209,201,3,2,2,95,"('Exception', None)",2023-03-28,2023-03-31,,TRK-90869526,202.37,0,False
210,SHP-2023-0000210,202,1,1,1,98,"('Booked', None)",2023-02-14,2023-02-22,,COLD-46220345,458.66,0,False
211,SHP-2025-0000211,203,80,3,3,92,Delivered,2025-01-08,2025-01-15,2025-01-15,TRK-37390957,739.75,0,False
212,SHP-2023-0000212,204,60,7,7,59,Delivered,2023-04-13,2023-04-18,2023-04-17,FRT-31469263,253.37,0,False
213,SHP-2024-0000213,205,44,6,6,237,Delivered,2024-10-29,2024-11-07,2024-11-07,RLX-82095878,837.38,0,False
