contract_id,contract_number,customer_id,account_manager_id,contract_tier,contract_status,start_date,end_date_raw,minimum_monthly_commitment,deposit_amount,billing_currency,cancellation_reason
111,CTR-2024-00111,122,39,Spot,Cancelled,2024-06-04,6/4/2025,2500.00,500.00,USD,Service unreliability
112,CTR-2025-00112,1103,273,Preferred,Active,2025-01-09,2027-01-09,500.00,5000.00,USD,
113,CTR-2024-00113,2085,249,strategic ,active,2024-06-28,2025-06-28,2500.00,10000.00,USD,
114,CTR-2024-00114,107,26,Strategic,Active,2024-09-17,2027-09-17,5000.00,5000.00,USD,
115,CTR-2024-00115,1521,119,strategic ,Active,2024-05-09,2025-05-09,10000.00,1000.00,USD,
116,CTR-2023-00116,320,14,Preferred,Active,2023-02-06,2024-02-06,5000.00,500.00,CAD,
117,CTR-2025-00117,2010,82,Standard,Active,2025-05-07,03/11/2025,2500.00,2500.00,CAD,
118,CTR-2025-00118,632,295,Strategic,Active,2025-01-28,2027-01-28,1000.00,500.00,USD,
119,CTR-2024-00119,1675,7,Preferred,Cancelled,2024-02-02,2024-07-31,2500.00,1000.00,USD,Unknown
120,CTR-2024-00120,1931,165,Spot,Cancelled,2024-02-29,2024/08/27,25000.00,1000.00,USD, 
121,CTR-2025-00121,1434,190,Spot,Active,2025-01-19,19/01/2026,5000.00,1000.00,GBP,
122,CTR-2023-00122,2184,269,strategic ,active,2023-02-21,2025-02-20,500.00,5000.00,USD,
123,CTR-2023-00123,1164,193,strategic ,active,2023-05-26,2024-05-25,25000.00,2500.00,EUR,
124,CTR-2023-00124,892,242,strategic ,Active,2023-12-20,2024-06-17,5000.00,5000.00,EUR,
125,CTR-2023-00125,1916,64,strategic ,Expired,2023-05-27,2025-05-26,5000.00,2500.00,CAD,
126,CTR-2024-00126,447,19,strategic ,Active,2024-08-10,2025-02-06,10000.00,0.00,CAD,
127,CTR-2023-00127,1490,79,Preferred,Cancelled,2023-11-15,2024-11-14,2500.00,5000.00,CAD,Customer consolidation
128,CTR-2023-00128,70,106,Spot,Active,2023-02-15,2025-02-14,2500.00,10000.00,USD,
129,CTR-2023-00129,1839,57,Standard,Active,2023-01-09,2024/01/09,2500.00,1000.00,USD,
130,CTR-2023-00130,1408,57,Spot,Suspended,2023-05-25,11/21/2023,2500.00,10000.00,USD,
131,CTR-2024-00131,2444,299,Strategic,Expired,2024-12-23,2025-12-23,500.00,500.00,EUR,
132,CTR-2023-00132,1596,78,Strategic,Active,2023-05-04,2026-05-03,500.00,500.00,USD,
133,CTR-2025-00133,916,243,Preferred,Active,2025-02-28,2028-02-28,25000.00,0.00,EUR,
134,CTR-2023-00134,2086,14,Standard,Active,2023-06-11,2026-06-10,10000.00,0.00,USD,
135,CTR-2025-00135,507,14,Standard,Cancelled,2025-04-29,2026/04/29,25000.00,1000.00,USD,Customer consolidation
136,CTR-2024-00136,83,267,Strategic,Expired,2024-06-01,2026-06-01,5000.00,5000.00,CAD,
137,CTR-2023-00137,895,289,Strategic,Cancelled,2023-02-27,2024-02-27,25000.00,5000.00,GBP,Unknown
138,CTR-2024-00138,1910,299,Strategic,Expired,2024-09-16,2027-09-16,25000.00,10000.00,USD,
139,CTR-2024-00139,2239,289,Strategic,Active,2024-08-17, 2025-08-17 ,10000.00,1000.00,USD,
140,CTR-2023-00140,657,30,Standard,active,2023-09-13,2024/09/12,10000.00,500.00,GBP,
141,CTR-2025-00141,1424,82,Spot,active,2025-03-18,2026-03-18,500.00,1000.00,USD,
142,CTR-2023-00142,2329,236,strategic ,Expired,2023-09-22,2024-09-21,10000.00,0.00,USD,
143,CTR-2023-00143,872,12,Spot,Active,2023-04-02,2026-04-01,5000.00,500.00,USD,
144,CTR-2024-00144,306,7,Spot,Expired,2024-07-03,2025-07-03,10000.00,5000.00,USD,
145,CTR-2025-00145,2422,51,Standard,Expired,2025-02-06,2026-02-06,1000.00,0.00,USD,
146,CTR-2024-00146,1645,295,Standard,Expired,2024-01-08, 2026-01-07 ,5000.00,10000.00,USD,
147,CTR-2023-00147,1932,269,Spot,Active,2023-07-31,30/07/2024,5000.00,5000.00,USD,
148,CTR-2024-00148,471,51,Standard,Active,2024-06-13,2024-12-10,25000.00,0.00,USD,
149,CTR-2024-00149,2243,39,Standard,Cancelled,2024-04-28,4/28/2025,1000.00,10000.00,USD,Service unreliability
150,CTR-2025-00150,2222,119,Strategic,Cancelled,2025-09-26,2026-03-25,2500.00,2500.00,USD,Moved to competitor
151,CTR-2023-00151,2168,187,strategic ,Expired,2023-03-20,3/19/2026,500.00,10000.00,USD,
152,CTR-2023-00152,491,242,strategic ,active,2023-04-19,2023-10-16,2500.00,5000.00,USD,
153,CTR-2023-00153,66,51,Strategic,Active,2023-08-07,2025-08-06,10000.00,5000.00,USD,
154,CTR-2023-00154,834,22,Spot,Active,2023-03-14,2024-03-13,1000.00,0.00,USD,
155,CTR-2023-00155,397,236,Spot,Active,2023-01-09,2025-01-08,1000.00,1000.00,USD,
156,CTR-2023-00156,1289,30,Standard,active,2023-12-14,13/12/2024,500.00,1000.00,USD,
157,CTR-2025-00157,1902,226,strategic ,Expired,2025-01-26,2026-01-26,2500.00,2500.00,USD,
158,CTR-2023-00158,615,74,Strategic,Active,2023-10-11,2024-10-10,25000.00,5000.00,USD,
159,CTR-2023-00159,2363,266,strategic ,Active,2023-03-30,2024-03-29,500.00,500.00,USD,
160,CTR-2024-00160,1079,267,Standard,Active,2024-07-06,06/07/2026,10000.00,2500.00,USD,
161,CTR-2025-00161,1796,156,Strategic,Active,2025-05-19,2028-05-18,25000.00,2500.00,USD,
162,CTR-2025-00162,1232,280,Preferred,Cancelled,2025-02-18,2025-08-17,5000.00,1000.00,EUR,Service unreliability
163,CTR-2025-00163,527,262,Spot,Active,2025-01-21,1/21/2026,10000.00,5000.00,CAD,
164,CTR-2024-00164,812,234,Preferred,Active,2024-05-17,2025-05-17,1000.00,0.00,USD,
165,CTR-2024-00165,1736,51,Spot,Suspended,2024-04-16,2024-10-13,5000.00,500.00,CAD,
166,CTR-2023-00166,1877,258,Strategic,active,2023-01-03,2024-01-03,2500.00,0.00,USD,
167,CTR-2024-00167,2241,128,strategic ,Active,2024-04-24,2025-04-24,5000.00,2500.00,USD,
168,CTR-2024-00168,2449,258,Strategic,active,2024-04-23,2025-04-23,10000.00,500.00,USD,
169,CTR-2023-00169,2479,239,Preferred,Active,2023-03-11,2024-03-10,500.00,1000.00,usd,
170,CTR-2024-00170,2440,39,Standard,Active,2024-06-14,2027/06/14,25000.00,0.00,USD,
171,CTR-2024-00171,1221,192,Spot,Active,2024-10-11,2025-10-11,500.00,500.00,USD,
172,CTR-2023-00172,1583,257,strategic ,Active,2023-02-05,2024-02-05,10000.00,5000.00,GBP,
173,CTR-2025-00173,1307,74,strategic ,Active,2025-08-21,2026-08-21,25000.00,2500.00,USD,
174,CTR-2023-00174,323,152,Standard,Cancelled,2023-05-05,2026-05-04,500.00,10000.00,USD,Customer consolidation
175,CTR-2023-00175,708,149,Preferred,Active,2023-08-17,2024-08-16,5000.00,0.00,CAD,
176,CTR-2025-00176,1373,299,Preferred,Active,2025-03-27,2028-03-26,2500.00,5000.00,USD,
177,CTR-2023-00177,1139,147,strategic ,Cancelled,2023-10-11,2024-04-08,2500.00,5000.00,usd,Customer consolidation
178,CTR-2025-00178,1304,51,Standard,Active,2025-03-31,2027-03-31,500.00,10000.00,USD,
179,CTR-2024-00179,2476,201,Spot,Active,2024-06-16,6/16/2025,1000.00,0.00,USD,
180,CTR-2023-00180,851,310,Spot,Active,2023-03-14,2026/03/13,10000.00,2500.00,USD,
181,CTR-2025-00181,1149,220,Spot,Active,2025-06-20,2026-06-20,500.00,10000.00,USD,
182,CTR-2024-00182,251,236,Spot,Cancelled,2024-08-26,2025/02/22,2500.00,500.00,USD,Unknown
183,CTR-2025-00183,1518,68,Preferred,active,2025-01-29,2025-07-28,500.00,5000.00,USD,
184,CTR-2023-00184,940,243,Standard,active,2023-11-05,2024-05-03,25000.00,10000.00,USD,
185,CTR-2024-00185,1139,119,Spot,Expired,2024-10-12,2027-10-12,25000.00,10000.00,USD,
186,CTR-2025-00186,1006,191,Strategic,Active,2025-07-07,2026-07-07,25000.00,10000.00,USD,
187,CTR-2025-00187,242,14,Preferred,Active,2025-02-07,2028-02-07,1000.00,1000.00,USD,
188,CTR-2023-00188,1524,218,Preferred,Active,2023-08-13,8/12/2024,5000.00,5000.00,EUR,
189,CTR-2025-00189,1086,201,strategic ,Expired,2025-01-27,2028-01-27,2500.00,10000.00,USD,
190,CTR-2024-00190,16,51,Spot,Expired,2024-01-15,2025-01-14,2500.00,500.00,USD,
191,CTR-2025-00191,1647,140,strategic ,Active,2025-05-10,2025-11-06,25000.00,2500.00,USD,
192,CTR-2024-00192,2386,7,strategic ,Cancelled,2024-01-21,2025-01-20,2500.00,10000.00,USD,Service unreliability
193,CTR-2023-00193,158,94,Strategic,Active,2023-03-14,2023-09-10,10000.00,2500.00,USD,
194,CTR-2025-00194,985,67,Spot,Active,2025-04-15,4/15/2027,10000.00,5000.00,USD,
195,CTR-2023-00195,542,7,strategic ,Cancelled,2023-12-25,2024-12-24,5000.00,2500.00,CAD, 
196,CTR-2023-00196,819,105,strategic ,Active,2023-05-03,2024-05-02,2500.00,2500.00,USD,
197,CTR-2024-00197,1405,226,Preferred,Cancelled,2024-09-12,2027-09-12,25000.00,1000.00,USD, 
198,CTR-2025-00198,1514,140,Standard,Active,2025-03-15,2027-03-15,2500.00,500.00,USD,
199,CTR-2025-00199,1279,201,Spot,Cancelled,2025-01-20,2027-01-20,25000.00,5000.00,USD, 
200,CTR-2023-00200,1802,254,Spot,active,2023-06-13,2026-06-12,25000.00,10000.00,USD,
201,CTR-2025-00201,272,273,Spot,Active,2025-04-13,2026-04-13,25000.00,10000.00,USD,
202,CTR-2024-00202,1679,57,Strategic,Active,2024-05-05,2026-05-05,500.00,10000.00,USD,
203,CTR-2023-00203,1951,296,strategic ,Cancelled,2023-09-29,2024-09-28,5000.00,5000.00,USD,Customer consolidation
204,CTR-2025-00204,281,69,Preferred,Active,2025-05-18,2026-05-18,1000.00,500.00,USD,
205,CTR-2024-00205,882,258,Standard,Cancelled,2024-12-26,2025-12-26,500.00,2500.00,USD,Unknown
206,CTR-2025-00206,2270,60,Preferred,Active,2025-08-10,2027-08-10,5000.00,1000.00,USD,
207,CTR-2023-00207,488,12,Strategic,Active,2023-05-03,2025-05-02,10000.00,5000.00,USD,
208,CTR-2023-00208,630,254,Preferred,Active,2023-10-22,2024-04-19,500.00,2500.00,usd,
209,CTR-2024-00209,1530,156,Strategic,Active,2024-05-24,2025-05-24,10000.00,2500.00,USD,
210,CTR-2025-00210,533,7,strategic ,Expired,2025-08-05,2026-02-01,5000.00,0.00,USD,
211,CTR-2024-00211,2294,190,Preferred,Active,2024-06-04,6/4/2025,500.00,500.00,USD,
212,CTR-2023-00212,2103,149,Spot,Active,2023-12-21,2024-12-20,25000.00,1000.00,USD,
213,CTR-2023-00213,1101,245,Spot,Cancelled,2023-05-20,2023-11-16,5000.00,500.00,USD, 
214,CTR-2025-00214,1862,165,Spot,active,2025-07-12,2028-07-11,25000.00,2500.00,USD,
215,CTR-2024-00215,2180,242,Preferred,Active,2024-11-21,2025-11-21,2500.00,10000.00,USD,
216,CTR-2023-00216,1560,147,Standard,Expired,2023-12-30,2026-12-29,5000.00,10000.00,USD,
217,CTR-2025-00217,1807,174,strategic ,Expired,2025-09-08,2028-09-07,10000.00,10000.00,USD,
218,CTR-2025-00218,235,190,strategic ,Active,2025-01-26,2028-01-26,25000.00,10000.00,USD,
219,CTR-2024-00219,2345,241,Spot,Active,2024-04-12,2026-04-12,5000.00,10000.00,GBP,
220,CTR-2025-00220,2073,119,strategic ,Active,2025-05-27,2026-05-27,5000.00,1000.00,EUR,
221,CTR-2024-00221,1294,241,Spot,Active,2024-10-08,2025-10-08,10000.00,500.00,USD,
222,CTR-2025-00222,639,226,strategic ,Active,2025-05-28,2026-05-28,5000.00,0.00,USD,
223,CTR-2025-00223,300,68,Standard,Expired,2025-01-30,2026-01-30,1000.00,1000.00,USD,
224,CTR-2023-00224,58,68,Spot,Cancelled,2023-10-28,2024-10-27,500.00,2500.00,usd,Customer consolidation
225,CTR-2023-00225,860,128,Standard,Active,2023-07-18,2026-07-17,1000.00,0.00,USD,
226,CTR-2023-00226,1836,187,Standard,Active,2023-10-20,2025-10-19,5000.00,0.00,USD,
227,CTR-2023-00227,455,15,strategic ,Active,2023-05-27,26/05/2024,1000.00,5000.00,USD,
228,CTR-2023-00228,2083,64,Preferred,Cancelled,2023-08-10,2024-08-09,5000.00,500.00,CAD,Customer consolidation
229,CTR-2025-00229,1818,299,Preferred,Suspended,2025-04-11,4/10/2028,5000.00,500.00,EUR,
230,CTR-2024-00230,2316,240,Preferred,Expired,2024-06-28,2025-06-28,2500.00,2500.00,USD,
231,CTR-2024-00231,556,258,Standard,active,2024-11-28,11/28/2025,25000.00,0.00,USD,
232,CTR-2024-00232,1211,147,Spot,Active,2024-04-30,2027-04-30,5000.00,10000.00,USD,
233,CTR-2023-00233,1037,78,Standard,Cancelled,2023-12-19,2024-12-18,10000.00,10000.00,usd, 
234,CTR-2025-00234,2365,254,strategic ,Active,2025-05-22,2025-11-18,2500.00,5000.00,USD,
235,CTR-2025-00235,350,273,Preferred,Active,2025-01-02,2026-01-02,500.00,2500.00,USD,
236,CTR-2024-00236,238,193,Spot,Active,2024-05-15,2025-05-15,10000.00,5000.00,USD,
237,CTR-2025-00237,741,146,Standard,Active,2025-07-26,2026-07-26,500.00,0.00,USD,
238,CTR-2025-00238,2490,68,Preferred,Expired,2025-02-04,2027-02-04,5000.00,500.00,USD,
239,CTR-2024-00239,301,33,Preferred,Active,2024-11-09,2027-11-09,500.00,5000.00,USD,
240,CTR-2023-00240,2273,165,Spot,Active,2023-09-15,2024-09-14,10000.00,0.00,USD,
241,CTR-2023-00241,2316,299,Preferred,Active,2023-11-26,2024-05-24,25000.00,2500.00,USD,
242,CTR-2023-00242,1941,190,Standard,Active,2023-05-04,2026/05/03,25000.00,0.00,USD,
243,CTR-2025-00243,434,60,Spot,Active,2025-05-03,2026-05-03,500.00,1000.00,USD,
244,CTR-2025-00244,1702,94,Strategic,Cancelled,2025-04-10,2027-04-10,500.00,10000.00,EUR,Price increase
245,CTR-2023-00245,1969,128,Strategic,Active,2023-12-29,2024-12-28,10000.00,500.00,usd,
246,CTR-2024-00246,2431,60,strategic ,Cancelled,2024-08-20,2025-08-20,5000.00,10000.00,EUR, 
247,CTR-2024-00247,2371,243,Strategic,Active,2024-01-13,2025-01-12,5000.00,2500.00,USD,
248,CTR-2023-00248,693,57,Strategic,Active,2023-06-23,2024-06-22,2500.00,5000.00,USD,
249,CTR-2023-00249,259,67,Strategic,Expired,2023-02-06,2024-02-06,25000.00,2500.00,USD,
250,CTR-2024-00250,1477,289,Preferred,Cancelled,2024-02-12,2024-08-10,1000.00,10000.00,usd,Moved to competitor
251,CTR-2023-00251,1887,183,Standard,Active,2023-06-05,2023-12-02,25000.00,0.00,USD,
252,CTR-2024-00252,39,165,Strategic,Active,2024-12-30,2025-06-28,10000.00,10000.00,USD,
253,CTR-2023-00253,2366,192,Strategic,Cancelled,2023-04-01,3/31/2024,2500.00,1000.00,USD,Service unreliability
254,CTR-2025-00254,2092,280,Spot,Expired,2025-10-16,2028-10-15,25000.00,0.00,USD,
255,CTR-2023-00255,957,240,Preferred,Active,2023-11-10,2024-05-08,5000.00,1000.00,EUR,
256,CTR-2025-00256,2436,79,Standard,Active,2025-10-03,10/3/2026,5000.00,2500.00,USD,
257,CTR-2025-00257,1566,146,strategic ,Active,2025-02-22,2026-02-22,25000.00,5000.00,USD,
258,CTR-2023-00258,1207,248,Standard,Expired,2023-10-06,2026-10-05,500.00,2500.00,CAD,
